BLcode,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,pop,WBcode,region_code
1,"Algeria",1950,"F",15,999,83.84,14.67,3.24,1.35,0.36,0.15,0.07,0.71,0.63,0.07,0.00,2531,"DZA","Middle East and North Africa"
1,"Algeria",1955,"F",15,999,84.40,13.93,2.98,1.55,0.34,0.13,0.07,0.69,0.61,0.08,0.00,2795,"DZA","Middle East and North Africa"
1,"Algeria",1960,"F",15,999,87.58,10.42,2.26,1.87,0.61,0.13,0.06,0.61,0.50,0.10,0.00,3048,"DZA","Middle East and North Africa"
1,"Algeria",1965,"F",15,999,89.70,8.04,2.12,2.14,0.85,0.12,0.06,0.56,0.44,0.12,0.00,3216,"DZA","Middle East and North Africa"
1,"Algeria",1970,"F",15,999,87.39,8.80,2.34,3.62,1.72,0.11,0.05,0.77,0.56,0.20,0.00,3766,"DZA","Middle East and North Africa"
1,"Algeria",1975,"F",15,999,79.77,14.26,2.92,5.67,3.01,0.29,0.14,1.22,0.87,0.34,0.01,4375,"DZA","Middle East and North Africa"
1,"Algeria",1980,"F",15,999,72.10,18.38,3.60,8.87,5.10,0.66,0.32,1.80,1.23,0.55,0.02,5142,"DZA","Middle East and North Africa"
1,"Algeria",1985,"F",15,999,62.45,22.52,8.23,13.57,8.37,1.46,0.76,2.76,1.82,0.90,0.04,6125,"DZA","Middle East and North Africa"
1,"Algeria",1990,"F",15,999,54.60,25.84,10.28,17.35,11.34,2.21,1.17,3.51,2.26,1.19,0.07,7222,"DZA","Middle East and North Africa"
1,"Algeria",1995,"F",15,999,45.83,30.31,14.23,20.57,13.99,3.29,1.77,4.34,2.77,1.47,0.10,8534,"DZA","Middle East and North Africa"
1,"Algeria",2000,"F",15,999,38.64,35.65,18.27,20.27,14.13,5.45,2.96,4.90,3.16,1.57,0.17,10018,"DZA","Middle East and North Africa"
1,"Algeria",2005,"F",15,999,38.04,36.91,21.95,18.80,13.58,6.25,3.46,4.98,3.27,1.52,0.19,11514,"DZA","Middle East and North Africa"
1,"Algeria",2010,"F",15,999,28.24,36.69,20.37,22.52,16.82,12.54,7.12,6.35,3.82,2.14,0.39,12870,"DZA","Middle East and North Africa"
3,"Benin",1950,"F",15,999,96.35,2.46,0.77,1.14,0.34,0.06,0.03,0.23,0.17,0.06,0.00,667,"BEN","Sub-Saharan Africa"
3,"Benin",1955,"F",15,999,95.62,2.98,0.97,1.33,0.38,0.07,0.03,0.27,0.20,0.07,0.00,680,"BEN","Sub-Saharan Africa"
3,"Benin",1960,"F",15,999,94.86,3.53,1.22,1.53,0.43,0.07,0.04,0.32,0.24,0.08,0.00,704,"BEN","Sub-Saharan Africa"
3,"Benin",1965,"F",15,999,93.40,4.60,1.72,1.91,0.52,0.09,0.04,0.41,0.31,0.10,0.00,758,"BEN","Sub-Saharan Africa"
3,"Benin",1970,"F",15,999,92.64,5.20,2.10,2.07,0.55,0.09,0.04,0.46,0.35,0.11,0.00,834,"BEN","Sub-Saharan Africa"
3,"Benin",1975,"F",15,999,91.75,5.84,2.55,2.32,0.62,0.09,0.04,0.52,0.40,0.12,0.00,937,"BEN","Sub-Saharan Africa"
3,"Benin",1980,"F",15,999,89.84,6.90,3.25,3.25,0.92,0.08,0.04,0.67,0.50,0.16,0.00,1060,"BEN","Sub-Saharan Africa"
3,"Benin",1985,"F",15,999,85.97,8.71,4.42,5.12,1.61,0.20,0.10,0.99,0.71,0.27,0.01,1216,"BEN","Sub-Saharan Africa"
3,"Benin",1990,"F",15,999,81.74,11.21,6.08,6.74,2.46,0.31,0.16,1.32,0.94,0.36,0.01,1414,"BEN","Sub-Saharan Africa"
3,"Benin",1995,"F",15,999,77.89,13.40,7.64,8.17,3.58,0.55,0.29,1.64,1.15,0.47,0.02,1680,"BEN","Sub-Saharan Africa"
3,"Benin",2000,"F",15,999,74.70,14.20,8.51,10.30,5.40,0.80,0.43,2.00,1.35,0.63,0.02,1980,"BEN","Sub-Saharan Africa"
3,"Benin",2005,"F",15,999,70.59,13.96,8.83,14.56,8.94,0.90,0.48,2.55,1.61,0.91,0.03,2352,"BEN","Sub-Saharan Africa"
3,"Benin",2010,"F",15,999,64.88,14.04,10.40,20.07,13.56,1.01,0.54,3.31,2.00,1.28,0.03,2771,"BEN","Sub-Saharan Africa"
4,"Botswana",1950,"F",15,999,68.06,30.18,5.35,1.68,0.38,0.09,0.04,1.43,1.37,0.06,0.00,136,"BWA","Sub-Saharan Africa"
4,"Botswana",1955,"F",15,999,67.56,30.64,5.65,1.72,0.39,0.09,0.04,1.46,1.40,0.06,0.00,150,"BWA","Sub-Saharan Africa"
4,"Botswana",1960,"F",15,999,67.36,30.77,6.23,1.78,0.40,0.09,0.04,1.49,1.43,0.07,0.00,160,"BWA","Sub-Saharan Africa"
4,"Botswana",1965,"F",15,999,62.31,35.37,7.72,2.19,0.41,0.06,0.03,1.74,1.67,0.08,0.00,177,"BWA","Sub-Saharan Africa"
4,"Botswana",1970,"F",15,999,54.92,40.70,5.70,4.05,0.88,0.35,0.16,2.10,1.93,0.16,0.01,205,"BWA","Sub-Saharan Africa"
4,"Botswana",1975,"F",15,999,49.14,44.90,15.78,5.69,1.29,0.27,0.13,2.76,2.54,0.21,0.01,242,"BWA","Sub-Saharan Africa"
4,"Botswana",1980,"F",15,999,42.10,48.90,15.90,8.80,1.80,0.20,0.10,3.21,2.90,0.31,0.01,287,"BWA","Sub-Saharan Africa"
4,"Botswana",1985,"F",15,999,34.14,32.22,16.94,32.17,8.33,1.47,0.76,5.33,4.08,1.21,0.04,339,"BWA","Sub-Saharan Africa"
4,"Botswana",1990,"F",15,999,28.63,15.48,9.21,53.75,23.65,2.14,1.11,7.03,4.78,2.19,0.07,407,"BWA","Sub-Saharan Africa"
4,"Botswana",1995,"F",15,999,19.11,12.50,8.11,65.59,24.41,2.81,1.49,8.19,5.51,2.60,0.09,485,"BWA","Sub-Saharan Africa"
4,"Botswana",2000,"F",15,999,15.12,10.03,6.90,72.28,26.87,2.57,1.37,8.75,5.83,2.83,0.08,556,"BWA","Sub-Saharan Africa"
4,"Botswana",2005,"F",15,999,12.52,8.32,6.01,76.41,27.48,2.76,1.46,9.11,6.04,2.98,0.08,569,"BWA","Sub-Saharan Africa"
4,"Botswana",2010,"F",15,999,10.16,7.43,5.90,79.05,27.00,3.35,1.76,9.42,6.23,3.08,0.10,563,"BWA","Sub-Saharan Africa"
6,"Burundi",1950,"F",15,999,96.36,3.35,1.12,0.23,0.08,0.04,0.02,0.19,0.18,0.01,0.00,769,"BDI","Sub-Saharan Africa"
6,"Burundi",1955,"F",15,999,95.77,3.89,1.33,0.28,0.10,0.04,0.02,0.22,0.21,0.01,0.00,817,"BDI","Sub-Saharan Africa"
6,"Burundi",1960,"F",15,999,92.71,6.64,2.37,0.55,0.20,0.08,0.04,0.39,0.36,0.03,0.00,876,"BDI","Sub-Saharan Africa"
6,"Burundi",1965,"F",15,999,90.06,9.04,3.42,0.79,0.29,0.12,0.06,0.54,0.50,0.04,0.00,943,"BDI","Sub-Saharan Africa"
6,"Burundi",1970,"F",15,999,88.47,10.39,4.23,1.02,0.38,0.12,0.06,0.64,0.59,0.05,0.00,1038,"BDI","Sub-Saharan Africa"
