BLcode,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,pop,WBcode,region_code
1,"Algeria",1950,"M",15,999,77.74,20.27,4.10,1.55,0.59,0.44,0.29,0.98,0.85,0.11,0.01,2710,"DZA","Middle East and North Africa"
1,"Algeria",1955,"M",15,999,77.83,19.99,3.85,1.73,0.68,0.38,0.27,0.97,0.84,0.12,0.01,2904,"DZA","Middle East and North Africa"
1,"Algeria",1960,"M",15,999,77.60,18.23,3.95,3.65,1.37,0.52,0.31,1.16,0.92,0.22,0.02,3025,"DZA","Middle East and North Africa"
1,"Algeria",1965,"M",15,999,72.00,20.92,5.99,6.32,2.82,0.73,0.41,1.64,1.23,0.39,0.02,3158,"DZA","Middle East and North Africa"
1,"Algeria",1970,"M",15,999,58.11,30.98,9.23,10.15,5.40,0.61,0.33,2.48,1.85,0.61,0.02,3334,"DZA","Middle East and North Africa"
1,"Algeria",1975,"M",15,999,47.75,37.20,4.15,13.82,7.71,1.23,0.57,3.05,2.14,0.87,0.04,4017,"DZA","Middle East and North Africa"
1,"Algeria",1980,"M",15,999,39.12,40.86,3.86,17.61,10.08,2.41,1.06,3.79,2.54,1.18,0.07,5046,"DZA","Middle East and North Africa"
1,"Algeria",1985,"M",15,999,28.89,43.87,19.77,23.61,13.73,3.63,1.82,5.26,3.54,1.61,0.11,6047,"DZA","Middle East and North Africa"
1,"Algeria",1990,"M",15,999,23.07,44.62,20.72,27.11,16.44,5.19,2.67,6.00,3.90,1.94,0.16,7182,"DZA","Middle East and North Africa"
1,"Algeria",1995,"M",15,999,19.94,45.63,26.10,28.30,18.03,6.13,3.40,6.51,4.22,2.10,0.19,8534,"DZA","Middle East and North Africa"
1,"Algeria",2000,"M",15,999,17.73,50.76,32.20,24.42,16.60,7.08,4.06,6.51,4.38,1.91,0.22,10052,"DZA","Middle East and North Africa"
1,"Algeria",2005,"M",15,999,16.06,53.61,35.83,21.58,15.05,8.75,4.94,6.59,4.50,1.82,0.27,11599,"DZA","Middle East and North Africa"
1,"Algeria",2010,"M",15,999,14.07,51.04,32.79,23.88,16.91,11.01,6.08,7.00,4.61,2.05,0.34,12983,"DZA","Middle East and North Africa"
3,"Benin",1950,"M",15,999,88.10,9.26,3.48,2.37,0.77,0.27,0.17,0.69,0.54,0.14,0.01,614,"BEN","Sub-Saharan Africa"
3,"Benin",1955,"M",15,999,85.78,11.11,4.31,2.80,0.90,0.31,0.20,0.82,0.65,0.16,0.01,609,"BEN","Sub-Saharan Africa"
3,"Benin",1960,"M",15,999,83.63,12.82,5.18,3.20,1.01,0.35,0.23,0.95,0.75,0.18,0.01,629,"BEN","Sub-Saharan Africa"
3,"Benin",1965,"M",15,999,79.83,15.91,6.72,3.83,1.19,0.42,0.28,1.17,0.93,0.22,0.01,670,"BEN","Sub-Saharan Africa"
3,"Benin",1970,"M",15,999,78.49,16.60,7.55,4.48,1.26,0.42,0.27,1.28,1.02,0.25,0.01,744,"BEN","Sub-Saharan Africa"
3,"Benin",1975,"M",15,999,77.34,16.77,8.23,5.47,1.35,0.42,0.26,1.41,1.10,0.29,0.01,850,"BEN","Sub-Saharan Africa"
3,"Benin",1980,"M",15,999,74.21,16.09,8.32,9.18,3.13,0.49,0.28,1.82,1.31,0.50,0.02,972,"BEN","Sub-Saharan Africa"
