BLcode,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,WBcode,region_code,pop
1,"Algeria",1950,"F",25,64,83.10,15.20,2.92,1.52,0.41,0.17,0.11,0.737,0.646,0.085,0.006,"DZA","Middle East and North Africa",1529.0
1,"Algeria",1955,"F",25,64,84.32,13.96,3.02,1.57,0.30,0.19,0.11,0.706,0.615,0.085,0.006,"DZA","Middle East and North Africa",1678.0
1,"Algeria",1960,"F",25,64,88.75,9.87,2.19,1.24,0.40,0.14,0.08,0.520,0.444,0.071,0.004,"DZA","Middle East and North Africa",1825.0
1,"Algeria",1965,"F",25,64,92.06,6.73,1.63,1.10,0.47,0.12,0.07,0.393,0.324,0.066,0.004,"DZA","Middle East and North Africa",1928.0
1,"Algeria",1970,"F",25,64,95.35,3.71,0.97,0.84,0.44,0.08,0.04,0.250,0.195,0.052,0.002,"DZA","Middle East and North Africa",2232.0
1,"Algeria",1975,"F",25,64,89.77,7.47,1.54,2.60,1.74,0.16,0.09,0.608,0.436,0.167,0.005,"DZA","Middle East and North Africa",2540.0
1,"Algeria",1980,"F",25,64,81.98,13.49,2.58,4.16,2.93,0.37,0.22,1.046,0.754,0.280,0.012,"DZA","Middle East and North Africa",2954.0
1,"Algeria",1985,"F",25,64,73.61,19.20,6.33,6.31,4.61,0.89,0.56,1.679,1.198,0.453,0.029,"DZA","Middle East and North Africa",3483.0
1,"Algeria",1990,"F",25,64,64.12,24.23,9.22,9.67,7.28,1.98,1.26,2.511,1.702,0.744,0.065,"DZA","Middle East and North Africa",4187.0
1,"Algeria",1995,"F",25,64,55.27,28.58,11.80,13.09,10.03,3.07,2.00,3.321,2.181,1.039,0.101,"DZA","Middle East and North Africa",5024.0
1,"Algeria",2000,"F",25,64,45.55,33.69,16.19,16.19,12.52,4.57,3.01,4.237,2.742,1.343,0.152,"DZA","Middle East and North Africa",5941.0
1,"Algeria",2005,"F",25,64,38.50,37.57,19.95,16.32,12.79,7.61,4.99,4.982,3.161,1.569,0.252,"DZA","Middle East and North Africa",7054.0
1,"Algeria",2010,"F",25,64,31.02,39.59,22.52,18.31,14.54,11.07,7.24,5.840,3.627,1.847,0.366,"DZA","Middle East and North Africa",8403.0
1,"Algeria",2015,"F",25,64,23.72,40.02,23.39,20.23,16.12,16.03,10.36,6.823,4.078,2.217,0.528,"DZA","Middle East and North Africa",9630.0
3,"Benin",1950,"F",25,64,96.32,2.82,0.89,0.80,0.25,0.07,0.04,0.210,0.163,0.044,0.002,"BEN","Sub-Saharan Africa",408.0
3,"Benin",1955,"F",25,64,95.48,3.45,1.10,0.99,0.31,0.08,0.05,0.258,0.201,0.054,0.003,"BEN","Sub-Saharan Africa",402.0
3,"Benin",1960,"F",25,64,94.71,4.03,1.32,1.16,0.36,0.09,0.05,0.302,0.236,0.064,0.003,"BEN","Sub-Saharan Africa",403.0
3,"Benin",1965,"F",25,64,94.23,4.40,1.51,1.27,0.39,0.10,0.06,0.332,0.259,0.070,0.003,"BEN","Sub-Saharan Africa",435.0
3,"Benin",1970,"F",25,64,94.21,4.40,1.61,1.29,0.40,0.10,0.06,0.337,0.264,0.071,0.003,"BEN","Sub-Saharan Africa",482.0
3,"Benin",1975,"F",25,64,94.21,4.40,1.73,1.30,0.40,0.10,0.06,0.342,0.268,0.071,0.003,"BEN","Sub-Saharan Africa",549.0
3,"Benin",1980,"F",25,64,94.30,4.40,1.88,1.30,0.40,0.10,0.06,0.346,0.272,0.071,0.003,"BEN","Sub-Saharan Africa",633.0
3,"Benin",1985,"F",25,64,91.34,5.78,2.74,2.69,0.94,0.19,0.12,0.584,0.428,0.149,0.006,"BEN","Sub-Saharan Africa",736.0
3,"Benin",1990,"F",25,64,87.89,7.26,3.71,4.51,1.83,0.34,0.22,0.891,0.620,0.259,0.011,"BEN","Sub-Saharan Africa",850.0
3,"Benin",1995,"F",25,64,83.41,9.40,5.03,6.65,3.56,0.54,0.36,1.293,0.864,0.410,0.018,"BEN","Sub-Saharan Africa",1008.0
3,"Benin",2000,"F",25,64,79.27,11.74,6.56,8.11,4.97,0.87,0.58,1.652,1.088,0.535,0.029,"BEN","Sub-Saharan Africa",1165.0
3,"Benin",2005,"F",25,64,76.33,13.43,7.89,9.22,6.71,1.02,0.67,1.929,1.254,0.641,0.034,"BEN","Sub-Saharan Africa",1368.0
3,"Benin",2010,"F",25,64,73.90,13.98,9.53,10.95,9.01,1.17,0.77,2.262,1.433,0.790,0.039,"BEN","Sub-Saharan Africa",1638.0
3,"Benin",2015,"F",25,64,70.28,15.43,9.62,11.51,10.09,2.78,1.78,2.658,1.609,0.958,0.091,"BEN","Sub-Saharan Africa",1825.0
4,"Botswana",1950,"F",25,64,71.80,26.44,4.24,1.66,0.39,0.10,0.06,1.263,1.197,0.063,0.003,"BWA","Sub-Saharan Africa",78.0
4,"Botswana",1955,"F",25,64,71.78,26.43,4.42,1.69,0.40,0.10,0.06,1.272,1.205,0.064,0.003,"BWA","Sub-Saharan Africa",84.0
4,"Botswana",1960,"F",25,64,71.77,26.43,4.63,1.70,0.40,0.10,0.06,1.280,1.213,0.064,0.003,"BWA","Sub-Saharan Africa",90.0
4,"Botswana",1965,"F",25,64,71.70,26.40,5.08,1.70,0.40,0.10,0.06,1.295,1.228,0.064,0.003,"BWA","Sub-Saharan Africa",102.0
4,"Botswana",1970,"F",25,64,62.26,35.26,1.90,2.07,0.46,0.43,0.25,1.582,1.476,0.093,0.014,"BWA","Sub-Saharan Africa",114.0
4,"Botswana",1975,"F",25,64,54.01,42.58,12.16,3.08,0.72,0.34,0.20,2.290,2.155,0.124,0.011,"BWA","Sub-Saharan Africa",134.0
4,"Botswana",1980,"F",25,64,51.40,45.00,8.70,3.30,0.80,0.20,0.12,2.256,2.125,0.125,0.006,"BWA","Sub-Saharan Africa",163.0
4,"Botswana",1985,"F",25,64,42.93,36.28,13.17,19.49,5.44,1.30,0.83,3.987,3.186,0.758,0.043,"BWA","Sub-Saharan Africa",196.0
4,"Botswana",1990,"F",25,64,33.60,19.84,7.81,43.49,15.54,3.06,1.99,6.097,4.227,1.769,0.101,"BWA","Sub-Saharan Africa",235.0
4,"Botswana",1995,"F",25,64,27.32,16.09,7.09,53.48,22.02,3.11,2.07,7.076,4.773,2.200,0.104,"BWA","Sub-Saharan Africa",282.0
4,"Botswana",2000,"F",25,64,20.44,14.15,7.17,61.86,26.35,3.55,2.37,8.003,5.325,2.560,0.118,"BWA","Sub-Saharan Africa",325.0
4,"Botswana",2005,"F",25,64,15.75,10.54,5.44,70.33,29.47,3.38,2.25,8.700,5.719,2.868,0.113,"BWA","Sub-Saharan Africa",318.0
4,"Botswana",2010,"F",25,64,11.49,7.39,4.21,77.60,31.06,3.51,2.32,9.326,6.084,3.125,0.117,"BWA","Sub-Saharan Africa",302.0
4,"Botswana",2015,"F",25,64,7.26,5.17,3.29,81.66,32.27,5.91,3.84,10.011,6.426,3.391,0.195,"BWA","Sub-Saharan Africa",485.0
6,"Burundi",1950,"F",25,64,99.02,0.84,0.26,0.07,0.03,0.04,0.02,0.052,0.046,0.005,0.001,"BDI","Sub-Saharan Africa",483.0
6,"Burundi",1955,"F",25,64,98.82,1.03,0.33,0.08,0.03,0.04,0.03,0.064,0.056,0.006,0.001,"BDI","Sub-Saharan Africa",513.0
6,"Burundi",1960,"F",25,64,98.17,1.64,0.57,0.13,0.05,0.04,0.03,0.099,0.090,0.008,0.001,"BDI","Sub-Saharan Africa",547.0
6,"Burundi",1965,"F",25,64,94.25,5.18,1.99,0.47,0.19,0.10,0.06,0.320,0.291,0.026,0.003,"BDI","Sub-Saharan Africa",581.0
6,"Burundi",1970,"F",25,64,90.82,8.26,3.39,0.77,0.32,0.14,0.08,0.517,0.472,0.041,0.005,"BDI","Sub-Saharan Africa",619.0
6,"Burundi",1975,"F",25,64,89.43,9.42,4.00,1.00,0.42,0.15,0.09,0.607,0.550,0.052,0.005,"BDI","Sub-Saharan Africa",617.0
6,"Burundi",1980,"F",25,64,87.80,10.78,4.83,1.26,0.57,0.16,0.10,0.715,0.645,0.064,0.005,"BDI","Sub-Saharan Africa",697.0
6,"Burundi",1985,"F",25,64,85.05,13.09,6.26,1.63,0.78,0.22,0.14,0.900,0.807,0.086,0.007,"BDI","Sub-Saharan Africa",845.0
6,"Burundi",1990,"F",25,64,83.04,14.78,7.47,1.90,0.97,0.27,0.18,1.043,0.931,0.102,0.009,"BDI","Sub-Saharan Africa",981.0
6,"Burundi",1995,"F",25,64,80.72,16.59,8.70,2.41,1.28,0.28,0.18,1.167,1.030,0.127,0.009,"BDI","Sub-Saharan Africa",1030.0
6,"Burundi",2000,"F",25,64,76.84,19.68,10.79,3.18,1.73,0.30,0.20,1.451,1.275,0.165,0.010,"BDI","Sub-Saharan Africa",1014.0
6,"Burundi",2005,"F",25,64,69.76,25.95,15.45,3.86,2.19,0.43,0.28,1.854,1.617,0.223,0.014,"BDI","Sub-Saharan Africa",1185.0
6,"Burundi",2010,"F",25,64,63.12,31.26,22.09,5.07,3.02,0.56,0.36,2.354,2.023,0.312,0.018,"BDI","Sub-Saharan Africa",1494.0
6,"Burundi",2015,"F",25,64,66.62,28.78,3.29,3.79,1.55,0.80,0.41,1.547,1.278,0.245,0.024,"BDI","Sub-Saharan Africa",1672.0
