BLcode,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,WBcode,region_code,pop
1,"Algeria",1950,"M",25,64,76.61,21.16,3.99,1.73,0.66,0.51,0.37,1.031,0.889,0.125,0.018,"DZA","Middle East and North Africa",1697.0
1,"Algeria",1955,"M",25,64,76.58,20.91,4.28,1.83,0.70,0.53,0.38,1.048,0.898,0.132,0.018,"DZA","Middle East and North Africa",1807.0
1,"Algeria",1960,"M",25,64,80.53,16.82,3.59,2.11,0.94,0.54,0.38,0.939,0.771,0.150,0.018,"DZA","Middle East and North Africa",1857.0
1,"Algeria",1965,"M",25,64,82.10,14.40,3.61,2.77,1.33,0.76,0.51,0.981,0.752,0.204,0.025,"DZA","Middle East and North Africa",1895.0
1,"Algeria",1970,"M",25,64,68.90,25.80,6.94,4.40,2.64,0.70,0.47,1.615,1.288,0.304,0.023,"DZA","Middle East and North Africa",1883.0
1,"Algeria",1975,"M",25,64,61.67,29.50,4.36,7.97,5.41,0.86,0.56,2.115,1.546,0.541,0.029,"DZA","Middle East and North Africa",2215.0
1,"Algeria",1980,"M",25,64,52.84,34.17,4.20,11.34,8.14,1.65,1.01,2.797,1.931,0.813,0.053,"DZA","Middle East and North Africa",2839.0
1,"Algeria",1985,"M",25,64,41.95,40.15,15.25,14.57,10.77,3.33,2.11,3.984,2.736,1.139,0.109,"DZA","Middle East and North Africa",3398.0
1,"Algeria",1990,"M",25,64,31.45,44.73,19.07,18.76,14.23,5.06,3.23,5.041,3.343,1.531,0.166,"DZA","Middle East and North Africa",4147.0
1,"Algeria",1995,"M",25,64,23.75,47.24,21.80,21.95,16.92,7.06,4.53,5.923,3.812,1.880,0.232,"DZA","Middle East and North Africa",5024.0
1,"Algeria",2000,"M",25,64,20.60,47.13,25.08,23.91,18.65,8.36,5.48,6.480,4.102,2.101,0.277,"DZA","Middle East and North Africa",5966.0
