BLcode,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,WBcode,region_code,pop
1,"Algeria",1950,"MF",15,24,83.97,14.66,3.95,1.17,0.41,0.20,0.08,0.719,0.640,0.073,0.005,"DZA","Middle East and North Africa",1632.0
1,"Algeria",1950,"MF",25,34,81.35,16.49,3.93,1.76,0.64,0.40,0.25,0.873,0.742,0.118,0.013,"DZA","Middle East and North Africa",1204.0
1,"Algeria",1950,"MF",35,44,80.14,17.86,3.36,1.65,0.51,0.35,0.25,0.875,0.757,0.106,0.012,"DZA","Middle East and North Africa",889.0
1,"Algeria",1950,"MF",45,54,78.34,19.80,3.20,1.56,0.47,0.30,0.21,0.910,0.802,0.098,0.010,"DZA","Middle East and North Africa",652.0
1,"Algeria",1950,"MF",55,64,76.49,21.85,3.07,1.36,0.40,0.30,0.21,0.944,0.847,0.087,0.010,"DZA","Middle East and North Africa",481.0
1,"Algeria",1955,"MF",15,24,83.79,14.58,2.91,1.59,0.58,0.05,0.02,0.708,0.622,0.084,0.001,"DZA","Middle East and North Africa",1817.0
1,"Algeria",1955,"MF",25,34,81.40,16.20,4.30,1.90,0.70,0.40,0.25,0.891,0.753,0.125,0.013,"DZA","Middle East and North Africa",1330.0
1,"Algeria",1955,"MF",35,44,81.20,16.80,3.50,1.60,0.40,0.40,0.28,0.847,0.729,0.104,0.014,"DZA","Middle East and North Africa",969.0
1,"Algeria",1955,"MF",45,54,78.90,19.10,3.20,1.70,0.40,0.30,0.21,0.900,0.789,0.101,0.010,"DZA","Middle East and North Africa",696.0
1,"Algeria",1955,"MF",55,64,77.60,20.60,3.20,1.40,0.30,0.30,0.21,0.912,0.816,0.086,0.010,"DZA","Middle East and North Africa",490.0
1,"Algeria",1960,"MF",15,24,78.57,15.98,3.63,5.14,1.72,0.31,0.12,1.203,0.915,0.279,0.009,"DZA","Middle East and North Africa",1976.0
1,"Algeria",1960,"MF",25,34,84.17,13.42,3.40,2.05,0.89,0.36,0.22,0.795,0.649,0.134,0.012,"DZA","Middle East and North Africa",1433.0
1,"Algeria",1960,"MF",35,44,84.70,13.29,3.01,1.63,0.58,0.38,0.26,0.732,0.610,0.109,0.013,"DZA","Middle East and North Africa",1031.0
1,"Algeria",1960,"MF",45,54,85.12,13.20,2.34,1.36,0.43,0.31,0.21,0.666,0.567,0.089,0.010,"DZA","Middle East and North Africa",729.0
1,"Algeria",1960,"MF",55,64,84.92,13.71,2.15,1.14,0.38,0.23,0.16,0.640,0.558,0.074,0.008,"DZA","Middle East and North Africa",489.0
1,"Algeria",1965,"MF",15,24,67.62,22.91,7.08,8.94,3.73,0.47,0.17,1.980,1.465,0.503,0.013,"DZA","Middle East and North Africa",2159.0
1,"Algeria",1965,"MF",25,34,83.70,12.90,3.13,2.80,1.43,0.60,0.36,0.901,0.685,0.197,0.019,"DZA","Middle East and North Africa",1521.0
1,"Algeria",1965,"MF",35,44,87.40,10.50,2.95,1.70,0.65,0.40,0.27,0.658,0.529,0.116,0.013,"DZA","Middle East and North Africa",1074.0
1,"Algeria",1965,"MF",45,54,90.40,8.10,1.78,1.20,0.39,0.30,0.20,0.477,0.386,0.081,0.010,"DZA","Middle East and North Africa",742.0
1,"Algeria",1965,"MF",55,64,92.20,6.90,1.35,0.80,0.31,0.20,0.14,0.369,0.307,0.055,0.007,"DZA","Middle East and North Africa",486.0
1,"Algeria",1970,"MF",15,24,52.90,31.20,10.19,15.40,8.14,0.40,0.11,3.088,2.190,0.888,0.010,"DZA","Middle East and North Africa",2416.0
1,"Algeria",1970,"MF",25,34,77.30,17.50,5.03,4.50,2.80,0.60,0.36,1.307,0.982,0.306,0.019,"DZA","Middle East and North Africa",1501.0
1,"Algeria",1970,"MF",35,44,83.80,13.90,3.68,1.80,0.76,0.30,0.20,0.779,0.653,0.116,0.010,"DZA","Middle East and North Africa",1202.0
1,"Algeria",1970,"MF",45,54,88.20,10.50,2.35,1.10,0.39,0.20,0.14,0.540,0.463,0.070,0.007,"DZA","Middle East and North Africa",782.0
1,"Algeria",1970,"MF",55,64,90.20,9.00,1.81,0.60,0.23,0.10,0.07,0.408,0.366,0.038,0.003,"DZA","Middle East and North Africa",630.0
1,"Algeria",1975,"MF",15,24,38.74,41.15,5.30,18.81,10.14,1.29,0.44,3.782,2.600,1.147,0.035,"DZA","Middle East and North Africa",2968.0
1,"Algeria",1975,"MF",25,34,63.47,25.49,3.80,10.30,7.43,0.74,0.43,2.251,1.541,0.687,0.023,"DZA","Middle East and North Africa",1753.0
1,"Algeria",1975,"MF",35,44,80.81,15.62,3.02,3.09,1.63,0.49,0.32,0.996,0.774,0.206,0.016,"DZA","Middle East and North Africa",1368.0
1,"Algeria",1975,"MF",45,54,86.17,12.14,3.22,1.44,0.56,0.26,0.17,0.663,0.562,0.092,0.009,"DZA","Middle East and North Africa",952.0
1,"Algeria",1975,"MF",55,64,89.14,9.83,2.05,0.88,0.31,0.16,0.10,0.479,0.418,0.055,0.005,"DZA","Middle East and North Africa",682.0
1,"Algeria",1980,"MF",15,24,29.46,43.26,4.93,24.62,13.13,2.66,0.91,4.719,3.083,1.565,0.071,"DZA","Middle East and North Africa",3639.0
