BLcode,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,WBcode,region_code,pop
1,"Algeria",1950,"MF",25,64,79.68,18.33,3.50,1.63,0.54,0.35,0.23,0.892,0.774,0.106,0.012,"DZA","Middle East and North Africa",3226.0
1,"Algeria",1955,"MF",25,64,80.31,17.57,3.70,1.71,0.50,0.37,0.24,0.883,0.762,0.109,0.012,"DZA","Middle East and North Africa",3485.0
1,"Algeria",1960,"MF",25,64,84.61,13.38,2.91,1.68,0.65,0.34,0.22,0.731,0.610,0.110,0.011,"DZA","Middle East and North Africa",3682.0
1,"Algeria",1965,"MF",25,64,87.12,10.53,2.59,1.93,0.87,0.44,0.28,0.683,0.535,0.134,0.014,"DZA","Middle East and North Africa",3823.0
1,"Algeria",1970,"MF",25,64,83.25,13.82,3.63,2.47,1.36,0.36,0.22,0.869,0.693,0.165,0.012,"DZA","Middle East and North Africa",4115.0
1,"Algeria",1975,"MF",25,64,76.68,17.73,3.21,5.10,3.36,0.49,0.30,1.318,0.963,0.339,0.016,"DZA","Middle East and North Africa",4755.0
1,"Algeria",1980,"MF",25,64,67.70,23.62,3.74,7.68,5.42,1.00,0.61,1.913,1.342,0.540,0.032,"DZA","Middle East and North Africa",5793.0
1,"Algeria",1985,"MF",25,64,57.97,29.54,10.47,10.39,7.60,2.10,1.32,2.808,1.950,0.790,0.068,"DZA","Middle East and North Africa",6881.0
1,"Algeria",1990,"MF",25,64,47.86,34.43,13.86,14.19,10.70,3.51,2.24,3.760,2.511,1.135,0.115,"DZA","Middle East and North Africa",8334.0
1,"Algeria",1995,"MF",25,64,39.51,37.91,16.54,17.52,13.44,5.06,3.27,4.613,2.988,1.458,0.167,"DZA","Middle East and North Africa",10048.0
1,"Algeria",2000,"MF",25,64,33.05,40.42,20.45,20.06,15.56,6.47,4.24,5.354,3.418,1.722,0.214,"DZA","Middle East and North Africa",11907.0
1,"Algeria",2005,"MF",25,64,27.88,44.57,25.39,18.89,14.82,8.65,5.65,5.844,3.752,1.806,0.286,"DZA","Middle East and North Africa",14196.0
1,"Algeria",2010,"MF",25,64,21.91,46.82,28.58,20.34,16.15,10.93,7.10,6.473,4.138,1.975,0.360,"DZA","Middle East and North Africa",16952.0
1,"Algeria",2015,"MF",25,64,16.94,47.17,29.28,21.88,17.41,14.38,9.21,7.167,4.469,2.226,0.472,"DZA","Middle East and North Africa",19379.0
3,"Benin",1950,"MF",25,64,92.99,5.40,1.77,1.43,0.52,0.19,0.13,0.405,0.312,0.086,0.006,"BEN","Sub-Saharan Africa",787.0
3,"Benin",1955,"MF",25,64,91.47,6.58,2.19,1.73,0.63,0.23,0.15,0.492,0.381,0.104,0.008,"BEN","Sub-Saharan Africa",765.0
3,"Benin",1960,"MF",25,64,90.09,7.65,2.62,1.99,0.72,0.27,0.18,0.573,0.444,0.120,0.009,"BEN","Sub-Saharan Africa",767.0
3,"Benin",1965,"MF",25,64,89.24,8.30,2.99,2.16,0.79,0.29,0.19,0.626,0.486,0.130,0.010,"BEN","Sub-Saharan Africa",821.0
3,"Benin",1970,"MF",25,64,89.21,8.30,3.20,2.19,0.80,0.30,0.19,0.636,0.494,0.132,0.010,"BEN","Sub-Saharan Africa",903.0
3,"Benin",1975,"MF",25,64,89.20,8.30,3.43,2.20,0.80,0.30,0.19,0.645,0.502,0.133,0.010,"BEN","Sub-Saharan Africa",1022.0
3,"Benin",1980,"MF",25,64,89.20,8.30,3.69,2.20,0.80,0.30,0.19,0.653,0.510,0.133,0.010,"BEN","Sub-Saharan Africa",1189.0
3,"Benin",1985,"MF",25,64,84.45,9.86,4.72,4.95,2.08,0.74,0.49,1.115,0.779,0.312,0.024,"BEN","Sub-Saharan Africa",1399.0
3,"Benin",1990,"MF",25,64,79.42,11.01,5.58,8.27,4.39,1.30,0.86,1.669,1.072,0.554,0.043,"BEN","Sub-Saharan Africa",1627.0
3,"Benin",1995,"MF",25,64,73.01,13.81,7.42,11.54,7.59,1.64,1.09,2.286,1.428,0.804,0.055,"BEN","Sub-Saharan Africa",1981.0
3,"Benin",2000,"MF",25,64,67.48,17.00,9.52,13.12,9.32,2.36,1.58,2.772,1.724,0.969,0.079,"BEN","Sub-Saharan Africa",2303.0
3,"Benin",2005,"MF",25,64,64.35,18.37,10.76,14.84,11.86,2.45,1.63,3.113,1.911,1.121,0.081,"BEN","Sub-Saharan Africa",2748.0
3,"Benin",2010,"MF",25,64,62.39,17.34,10.40,16.98,14.77,3.28,2.14,3.509,2.048,1.352,0.109,"BEN","Sub-Saharan Africa",3321.0
3,"Benin",2015,"MF",25,64,59.18,17.52,10.71,18.16,16.63,5.14,3.24,3.998,2.245,1.585,0.168,"BEN","Sub-Saharan Africa",3585.0
4,"Botswana",1950,"MF",25,64,72.81,24.64,4.35,2.35,0.59,0.20,0.13,1.292,1.193,0.092,0.007,"BWA","Sub-Saharan Africa",144.0
4,"Botswana",1955,"MF",25,64,72.79,24.63,4.49,2.39,0.60,0.20,0.13,1.300,1.200,0.093,0.007,"BWA","Sub-Saharan Africa",157.0
4,"Botswana",1960,"MF",25,64,72.77,24.63,4.67,2.40,0.60,0.20,0.13,1.308,1.208,0.094,0.007,"BWA","Sub-Saharan Africa",166.0
4,"Botswana",1965,"MF",25,64,72.70,24.60,5.22,2.40,0.60,0.20,0.13,1.326,1.226,0.094,0.007,"BWA","Sub-Saharan Africa",184.0
4,"Botswana",1970,"MF",25,64,64.93,31.21,2.84,3.08,0.79,0.76,0.48,1.631,1.460,0.146,0.025,"BWA","Sub-Saharan Africa",206.0
4,"Botswana",1975,"MF",25,64,56.72,38.35,12.13,4.30,1.16,0.64,0.40,2.317,2.112,0.184,0.021,"BWA","Sub-Saharan Africa",242.0
4,"Botswana",1980,"MF",25,64,54.70,40.50,9.40,4.40,1.30,0.50,0.31,2.289,2.089,0.183,0.016,"BWA","Sub-Saharan Africa",297.0
4,"Botswana",1985,"MF",25,64,45.51,31.94,12.48,20.46,6.71,2.09,1.35,4.055,3.133,0.852,0.069,"BWA","Sub-Saharan Africa",365.0
4,"Botswana",1990,"MF",25,64,35.87,16.53,7.19,43.13,16.67,4.47,2.93,6.162,4.163,1.851,0.148,"BWA","Sub-Saharan Africa",444.0
4,"Botswana",1995,"MF",25,64,29.70,14.02,6.92,52.01,22.73,4.28,2.85,7.044,4.673,2.229,0.143,"BWA","Sub-Saharan Africa",539.0
4,"Botswana",2000,"MF",25,64,22.09,13.07,7.40,60.26,27.12,4.58,3.07,7.987,5.255,2.579,0.153,"BWA","Sub-Saharan Africa",618.0
4,"Botswana",2005,"MF",25,64,16.68,9.65,5.54,69.41,30.68,4.25,2.85,8.739,5.688,2.908,0.142,"BWA","Sub-Saharan Africa",611.0
4,"Botswana",2010,"MF",25,64,11.74,6.65,3.92,77.38,32.65,4.23,2.81,9.409,6.082,3.186,0.141,"BWA","Sub-Saharan Africa",600.0
4,"Botswana",2015,"MF",25,64,7.63,4.99,3.35,79.41,32.98,7.98,5.10,10.111,6.409,3.441,0.261,"BWA","Sub-Saharan Africa",899.0
6,"Burundi",1950,"MF",25,64,95.37,4.37,1.40,0.22,0.09,0.04,0.03,0.233,0.220,0.012,0.001,"BDI","Sub-Saharan Africa",905.0
6,"Burundi",1955,"MF",25,64,94.49,5.18,1.73,0.28,0.11,0.05,0.03,0.281,0.265,0.015,0.002,"BDI","Sub-Saharan Africa",956.0
6,"Burundi",1960,"MF",25,64,92.34,7.16,2.55,0.43,0.18,0.06,0.04,0.400,0.375,0.022,0.002,"BDI","Sub-Saharan Africa",1018.0
6,"Burundi",1965,"MF",25,64,89.35,9.80,3.73,0.73,0.31,0.12,0.07,0.575,0.533,0.038,0.004,"BDI","Sub-Saharan Africa",1075.0
6,"Burundi",1970,"MF",25,64,86.80,12.05,4.87,0.99,0.42,0.16,0.10,0.730,0.673,0.052,0.005,"BDI","Sub-Saharan Africa",1141.0
6,"Burundi",1975,"MF",25,64,83.46,14.72,6.34,1.54,0.69,0.27,0.17,0.956,0.864,0.083,0.009,"BDI","Sub-Saharan Africa",1114.0
6,"Burundi",1980,"MF",25,64,79.94,17.55,8.10,2.12,1.00,0.39,0.23,1.203,1.073,0.117,0.012,"BDI","Sub-Saharan Africa",1273.0
6,"Burundi",1985,"MF",25,64,76.58,20.34,9.97,2.54,1.25,0.54,0.34,1.440,1.277,0.146,0.018,"BDI","Sub-Saharan Africa",1575.0
