BLcode,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,pop,WBcode,region_code
1,"Algeria",1950,"M",25,999,76.56,21.27,3.87,1.66,0.64,0.51,0.37,1.02,0.88,0.12,0.02,1884,"DZA","Middle East and North Africa"
1,"Algeria",1955,"M",25,999,76.53,21.03,4.15,1.77,0.68,0.53,0.39,1.04,0.89,0.13,0.02,1997,"DZA","Middle East and North Africa"
1,"Algeria",1960,"M",25,999,81.05,16.45,3.40,1.98,0.89,0.52,0.37,0.91,0.75,0.14,0.02,2051,"DZA","Middle East and North Africa"
1,"Algeria",1965,"M",25,999,83.47,13.33,3.32,2.53,1.21,0.70,0.48,0.90,0.69,0.19,0.02,2084,"DZA","Middle East and North Africa"
1,"Algeria",1970,"M",25,999,70.61,24.64,6.40,3.91,2.34,0.61,0.42,1.49,1.20,0.27,0.02,2139,"DZA","Middle East and North Africa"
1,"Algeria",1975,"M",25,999,64.12,28.02,4.14,7.09,4.79,0.77,0.50,1.94,1.44,0.48,0.03,2518,"DZA","Middle East and North Africa"
1,"Algeria",1980,"M",25,999,55.97,32.34,4.07,10.20,7.29,1.48,0.91,2.57,1.79,0.73,0.05,3190,"DZA","Middle East and North Africa"
1,"Algeria",1985,"M",25,999,45.61,38.09,14.17,13.27,9.75,3.03,1.92,3.68,2.55,1.04,0.10,3772,"DZA","Middle East and North Africa"
1,"Algeria",1990,"M",25,999,35.83,42.32,17.68,17.21,13.01,4.64,2.96,4.67,3.11,1.40,0.15,4558,"DZA","Middle East and North Africa"
1,"Algeria",1995,"M",25,999,28.55,44.74,20.29,20.21,15.53,6.49,4.18,5.50,3.55,1.73,0.21,5497,"DZA","Middle East and North Africa"
1,"Algeria",2000,"M",25,999,25.73,44.62,23.30,21.96,17.08,7.69,5.05,6.00,3.82,1.93,0.25,6546,"DZA","Middle East and North Africa"
1,"Algeria",2005,"M",25,999,22.62,48.67,29.07,19.74,15.50,8.97,5.91,6.24,4.06,1.88,0.30,7814,"DZA","Middle East and North Africa"
1,"Algeria",2010,"M",25,999,17.29,51.66,32.97,20.83,16.52,10.21,6.71,6.71,4.40,1.97,0.34,9287,"DZA","Middle East and North Africa"
3,"Benin",1950,"M",25,999,91.19,6.77,2.30,1.78,0.74,0.27,0.19,0.52,0.39,0.11,0.01,460,"BEN","Sub-Saharan Africa"
3,"Benin",1955,"M",25,999,89.21,8.32,2.90,2.15,0.91,0.33,0.24,0.63,0.49,0.14,0.01,441,"BEN","Sub-Saharan Africa"
3,"Benin",1960,"M",25,999,87.43,9.71,3.50,2.48,1.05,0.39,0.28,0.74,0.57,0.16,0.01,440,"BEN","Sub-Saharan Africa"
