BLcode,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,pop,WBcode,region_code
1,"Algeria",1950,"MF",15,999,80.68,17.56,3.75,1.45,0.46,0.30,0.16,0.85,0.74,0.09,0.01,5241,"DZA","Middle East and North Africa"
1,"Algeria",1955,"MF",15,999,81.05,17.02,3.46,1.64,0.50,0.26,0.14,0.84,0.73,0.10,0.01,5699,"DZA","Middle East and North Africa"
1,"Algeria",1960,"MF",15,999,82.61,14.31,3.07,2.75,1.05,0.32,0.17,0.88,0.71,0.16,0.01,6073,"DZA","Middle East and North Africa"
1,"Algeria",1965,"MF",15,999,80.93,14.42,4.01,4.21,1.79,0.43,0.23,1.10,0.83,0.25,0.01,6374,"DZA","Middle East and North Africa"
1,"Algeria",1970,"MF",15,999,73.64,19.22,5.23,6.69,3.26,0.34,0.18,1.55,1.16,0.39,0.01,7100,"DZA","Middle East and North Africa"
1,"Algeria",1975,"MF",15,999,64.45,25.24,4.26,9.57,5.10,0.74,0.38,2.11,1.50,0.59,0.02,8392,"DZA","Middle East and North Africa"
1,"Algeria",1980,"MF",15,999,55.76,29.51,4.59,13.20,7.56,1.52,0.77,2.81,1.91,0.86,0.05,10188,"DZA","Middle East and North Africa"
1,"Algeria",1985,"MF",15,999,45.78,33.12,13.02,18.56,11.31,2.54,1.34,3.99,2.65,1.26,0.08,12172,"DZA","Middle East and North Africa"
1,"Algeria",1990,"MF",15,999,38.88,35.21,14.74,22.21,14.35,3.70,1.97,4.74,3.05,1.58,0.11,14404,"DZA","Middle East and North Africa"
1,"Algeria",1995,"MF",15,999,32.89,37.97,19.34,24.43,16.37,4.71,2.53,5.41,3.47,1.80,0.14,17068,"DZA","Middle East and North Africa"
1,"Algeria",2000,"MF",15,999,28.17,43.22,24.04,22.35,15.41,6.27,3.40,5.67,3.73,1.74,0.19,20070,"DZA","Middle East and North Africa"
1,"Algeria",2005,"MF",15,999,29.60,43.93,27.20,19.63,14.00,6.86,3.78,5.54,3.72,1.60,0.21,23113,"DZA","Middle East and North Africa"
1,"Algeria",2010,"MF",15,999,21.12,43.90,25.88,23.21,17.08,11.77,6.66,6.68,4.19,2.12,0.37,25853,"DZA","Middle East and North Africa"
3,"Benin",1950,"MF",15,999,92.40,5.72,1.87,1.73,0.57,0.16,0.09,0.44,0.34,0.10,0.01,1281,"BEN","Sub-Saharan Africa"
3,"Benin",1955,"MF",15,999,90.97,6.82,2.32,2.03,0.65,0.18,0.10,0.53,0.41,0.11,0.01,1289,"BEN","Sub-Saharan Africa"
3,"Benin",1960,"MF",15,999,89.56,7.92,2.85,2.32,0.74,0.21,0.11,0.61,0.47,0.13,0.01,1333,"BEN","Sub-Saharan Africa"
3,"Benin",1965,"MF",15,999,87.03,9.91,3.84,2.81,0.89,0.24,0.13,0.76,0.60,0.16,0.01,1428,"BEN","Sub-Saharan Africa"
3,"Benin",1970,"MF",15,999,85.97,10.58,4.42,3.21,1.00,0.25,0.13,0.84,0.66,0.18,0.01,1578,"BEN","Sub-Saharan Africa"
3,"Benin",1975,"MF",15,999,84.89,11.04,4.98,3.82,1.18,0.25,0.13,0.94,0.72,0.21,0.01,1787,"BEN","Sub-Saharan Africa"
3,"Benin",1980,"MF",15,999,82.36,11.29,5.48,6.09,2.08,0.28,0.14,1.22,0.88,0.33,0.01,2032,"BEN","Sub-Saharan Africa"
3,"Benin",1985,"MF",15,999,77.34,13.08,6.76,8.81,3.52,0.77,0.41,1.71,1.17,0.51,0.02,2348,"BEN","Sub-Saharan Africa"
3,"Benin",1990,"MF",15,999,72.35,15.56,8.53,11.12,5.51,0.97,0.52,2.16,1.45,0.68,0.03,2737,"BEN","Sub-Saharan Africa"
3,"Benin",1995,"MF",15,999,67.44,18.28,10.52,12.77,7.54,1.51,0.81,2.61,1.72,0.84,0.05,3315,"BEN","Sub-Saharan Africa"
3,"Benin",2000,"MF",15,999,63.50,18.70,11.25,16.00,10.36,1.90,1.01,3.11,1.97,1.08,0.06,3917,"BEN","Sub-Saharan Africa"
3,"Benin",2005,"MF",15,999,59.05,18.53,11.69,19.86,14.02,2.56,1.36,3.72,2.25,1.39,0.08,4710,"BEN","Sub-Saharan Africa"
3,"Benin",2010,"MF",15,999,53.91,18.66,12.18,23.67,17.77,3.76,2.01,4.43,2.57,1.74,0.12,5579,"BEN","Sub-Saharan Africa"
4,"Botswana",1950,"MF",15,999,70.79,26.73,5.12,2.32,0.55,0.16,0.09,1.38,1.29,0.09,0.01,249,"BWA","Sub-Saharan Africa"
4,"Botswana",1955,"MF",15,999,70.23,27.24,5.39,2.37,0.56,0.17,0.09,1.42,1.32,0.09,0.01,279,"BWA","Sub-Saharan Africa"
4,"Botswana",1960,"MF",15,999,69.72,27.68,6.18,2.43,0.57,0.17,0.09,1.46,1.37,0.09,0.01,297,"BWA","Sub-Saharan Africa"
4,"Botswana",1965,"MF",15,999,64.76,32.20,7.79,2.81,0.56,0.13,0.06,1.71,1.61,0.10,0.00,329,"BWA","Sub-Saharan Africa"
4,"Botswana",1970,"MF",15,999,57.18,37.24,6.59,5.03,1.17,0.56,0.28,2.14,1.93,0.20,0.02,381,"BWA","Sub-Saharan Africa"
4,"Botswana",1975,"MF",15,999,51.72,41.22,15.31,6.56,1.64,0.51,0.25,2.74,2.47,0.25,0.02,453,"BWA","Sub-Saharan Africa"
4,"Botswana",1980,"MF",15,999,45.80,44.60,15.20,9.20,2.30,0.40,0.19,3.12,2.76,0.34,0.01,537,"BWA","Sub-Saharan Africa"
4,"Botswana",1985,"MF",15,999,36.96,28.79,15.80,32.13,9.68,2.13,1.09,5.29,3.96,1.26,0.06,646,"BWA","Sub-Saharan Africa"
4,"Botswana",1990,"MF",15,999,31.20,14.42,8.83,51.45,23.03,2.93,1.52,6.86,4.62,2.15,0.09,780,"BWA","Sub-Saharan Africa"
4,"Botswana",1995,"MF",15,999,19.97,11.13,7.39,65.28,25.93,3.62,1.90,8.24,5.47,2.66,0.11,937,"BWA","Sub-Saharan Africa"
4,"Botswana",2000,"MF",15,999,15.59,8.92,6.26,72.23,28.52,3.27,1.73,8.82,5.82,2.90,0.10,1068,"BWA","Sub-Saharan Africa"
4,"Botswana",2005,"MF",15,999,12.58,7.09,5.21,76.92,29.32,3.41,1.79,9.22,6.05,3.06,0.10,1101,"BWA","Sub-Saharan Africa"
4,"Botswana",2010,"MF",15,999,9.83,6.24,4.76,80.04,29.03,3.89,2.02,9.55,6.26,3.18,0.12,1107,"BWA","Sub-Saharan Africa"
6,"Burundi",1950,"MF",15,999,91.95,7.51,2.60,0.50,0.18,0.04,0.02,0.42,0.39,0.02,0.00,1451,"BDI","Sub-Saharan Africa"
6,"Burundi",1955,"MF",15,999,90.03,9.29,3.30,0.61,0.23,0.06,0.03,0.52,0.49,0.03,0.00,1535,"BDI","Sub-Saharan Africa"
