BLcode,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,pop,WBcode,region_code
1,"Algeria",1950,"MF",25,999,79.20,18.88,3.55,1.58,0.51,0.34,0.23,0.90,0.79,0.10,0.01,3609,"DZA","Middle East and North Africa"
1,"Algeria",1955,"MF",25,999,79.80,18.10,3.60,1.70,0.50,0.40,0.27,0.90,0.78,0.11,0.01,3882,"DZA","Middle East and North Africa"
1,"Algeria",1960,"MF",25,999,84.56,13.51,2.82,1.60,0.60,0.33,0.21,0.72,0.61,0.10,0.01,4097,"DZA","Middle East and North Africa"
1,"Algeria",1965,"MF",25,999,88.00,9.80,2.43,1.70,0.80,0.40,0.26,0.64,0.51,0.12,0.01,4215,"DZA","Middle East and North Africa"
1,"Algeria",1970,"MF",25,999,84.40,13.00,3.17,2.20,1.02,0.30,0.19,0.78,0.64,0.14,0.01,4684,"DZA","Middle East and North Africa"
1,"Algeria",1975,"MF",25,999,78.51,16.54,3.15,4.52,2.35,0.43,0.28,1.18,0.89,0.28,0.01,5424,"DZA","Middle East and North Africa"
1,"Algeria",1980,"MF",25,999,70.38,21.88,3.91,6.85,3.96,0.89,0.56,1.72,1.24,0.46,0.03,6549,"DZA","Middle East and North Africa"
1,"Algeria",1985,"MF",25,999,61.37,27.38,8.80,9.36,5.87,1.89,1.25,2.51,1.76,0.68,0.06,7703,"DZA","Middle East and North Africa"
1,"Algeria",1990,"MF",25,999,52.01,31.93,11.75,12.87,8.71,3.19,2.12,3.38,2.27,1.00,0.11,9245,"DZA","Middle East and North Africa"
1,"Algeria",1995,"MF",25,999,44.24,35.21,14.12,15.94,11.30,4.61,3.08,4.17,2.71,1.30,0.15,11101,"DZA","Middle East and North Africa"
1,"Algeria",2000,"MF",25,999,38.36,37.54,17.48,18.22,13.38,5.89,3.95,4.84,3.10,1.54,0.20,13184,"DZA","Middle East and North Africa"
1,"Algeria",2005,"MF",25,999,35.60,40.25,22.44,16.50,12.46,7.66,5.13,5.16,3.33,1.57,0.26,15689,"DZA","Middle East and North Africa"
1,"Algeria",2010,"MF",25,999,26.99,44.15,25.08,18.73,14.50,10.13,6.77,5.98,3.81,1.84,0.34,18599,"DZA","Middle East and North Africa"
3,"Benin",1950,"MF",25,999,94.23,4.43,1.32,1.19,0.43,0.16,0.11,0.33,0.25,0.07,0.01,964,"BEN","Sub-Saharan Africa"
3,"Benin",1955,"MF",25,999,92.98,5.40,1.67,1.44,0.52,0.19,0.13,0.40,0.31,0.09,0.01,939,"BEN","Sub-Saharan Africa"
3,"Benin",1960,"MF",25,999,91.82,6.29,2.05,1.67,0.61,0.22,0.15,0.47,0.36,0.10,0.01,940,"BEN","Sub-Saharan Africa"
3,"Benin",1965,"MF",25,999,89.33,8.31,2.89,2.08,0.76,0.28,0.19,0.61,0.48,0.13,0.01,975,"BEN","Sub-Saharan Africa"
