BLcode,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,WBcode,region_code,pop
1,"Algeria",1950,"MF",15,64,81.12,17.10,3.65,1.48,0.50,0.30,0.18,0.834,0.729,0.095,0.010,"DZA","Middle East and North Africa",4858.0
1,"Algeria",1955,"MF",15,64,81.50,16.54,3.43,1.66,0.53,0.26,0.17,0.823,0.714,0.100,0.008,"DZA","Middle East and North Africa",5302.0
1,"Algeria",1960,"MF",15,64,82.50,14.29,3.16,2.88,1.02,0.33,0.19,0.896,0.716,0.169,0.010,"DZA","Middle East and North Africa",5658.0
1,"Algeria",1965,"MF",15,64,80.08,15.00,4.21,4.46,1.90,0.45,0.24,1.151,0.871,0.267,0.014,"DZA","Middle East and North Africa",5982.0
1,"Algeria",1970,"MF",15,64,72.02,20.25,6.06,7.25,3.87,0.38,0.18,1.690,1.247,0.432,0.011,"DZA","Middle East and North Africa",6531.0
1,"Algeria",1975,"MF",15,64,62.10,26.73,4.01,10.37,5.97,0.80,0.35,2.265,1.592,0.650,0.023,"DZA","Middle East and North Africa",7723.0
1,"Algeria",1980,"MF",15,64,52.94,31.20,4.20,14.22,8.40,1.64,0.72,2.996,2.013,0.935,0.047,"DZA","Middle East and North Africa",9432.0
1,"Algeria",1985,"MF",15,64,42.59,34.85,15.09,19.84,12.00,2.71,1.34,4.277,2.852,1.344,0.081,"DZA","Middle East and North Africa",11350.0
1,"Algeria",1990,"MF",15,64,35.43,36.97,16.55,23.66,14.89,3.93,2.04,5.050,3.262,1.669,0.120,"DZA","Middle East and North Africa",13493.0
1,"Algeria",1995,"MF",15,64,29.17,39.85,21.79,25.98,17.03,5.00,2.76,5.763,3.708,1.900,0.155,"DZA","Middle East and North Africa",16015.0
1,"Algeria",2000,"MF",15,64,24.11,45.43,27.43,23.80,16.24,6.66,3.72,6.056,4.013,1.835,0.208,"DZA","Middle East and North Africa",18793.0
1,"Algeria",2005,"MF",15,64,20.22,48.38,31.22,22.00,15.41,9.40,5.11,6.430,4.272,1.867,0.290,"DZA","Middle East and North Africa",21620.0
1,"Algeria",2010,"MF",15,64,17.17,45.75,28.37,24.63,17.55,12.44,6.74,7.001,4.448,2.169,0.384,"DZA","Middle East and North Africa",24206.0
1,"Algeria",2015,"MF",15,64,13.78,42.93,26.26,27.07,19.54,16.60,9.01,7.710,4.592,2.606,0.512,"DZA","Middle East and North Africa",25994.0
3,"Benin",1950,"MF",15,64,91.22,6.61,2.41,1.99,0.54,0.18,0.11,0.515,0.401,0.108,0.006,"BEN","Sub-Saharan Africa",1104.0
3,"Benin",1955,"MF",15,64,89.62,7.86,2.94,2.32,0.62,0.21,0.12,0.608,0.475,0.126,0.007,"BEN","Sub-Saharan Africa",1115.0
3,"Benin",1960,"MF",15,64,88.08,9.05,3.54,2.63,0.69,0.23,0.14,0.699,0.550,0.142,0.007,"BEN","Sub-Saharan Africa",1160.0
3,"Benin",1965,"MF",15,64,86.70,10.10,4.21,2.95,0.74,0.25,0.14,0.786,0.621,0.158,0.008,"BEN","Sub-Saharan Africa",1274.0
3,"Benin",1970,"MF",15,64,85.64,10.78,4.86,3.34,0.77,0.25,0.14,0.866,0.684,0.174,0.008,"BEN","Sub-Saharan Africa",1445.0
3,"Benin",1975,"MF",15,64,84.56,11.24,5.48,3.95,0.82,0.25,0.14,0.961,0.754,0.200,0.008,"BEN","Sub-Saharan Africa",1663.0
3,"Benin",1980,"MF",15,64,81.91,11.49,5.97,6.34,1.80,0.28,0.15,1.256,0.921,0.327,0.009,"BEN","Sub-Saharan Africa",1907.0
3,"Benin",1985,"MF",15,64,76.79,13.32,7.39,9.12,3.77,0.78,0.42,1.771,1.215,0.532,0.024,"BEN","Sub-Saharan Africa",2212.0
3,"Benin",1990,"MF",15,64,71.77,15.86,9.36,11.41,6.28,0.96,0.60,2.242,1.499,0.712,0.031,"BEN","Sub-Saharan Africa",2588.0
3,"Benin",1995,"MF",15,64,66.40,18.82,11.62,13.23,8.12,1.55,0.89,2.730,1.800,0.881,0.049,"BEN","Sub-Saharan Africa",3146.0
3,"Benin",2000,"MF",15,64,61.23,19.63,12.40,17.17,10.86,1.92,1.15,3.314,2.106,1.147,0.061,"BEN","Sub-Saharan Africa",3723.0
3,"Benin",2005,"MF",15,64,57.62,19.05,12.48,20.68,13.76,2.65,1.44,3.853,2.346,1.425,0.082,"BEN","Sub-Saharan Africa",4481.0
3,"Benin",2010,"MF",15,64,52.32,19.12,13.01,24.65,17.13,3.91,2.04,4.570,2.677,1.773,0.119,"BEN","Sub-Saharan Africa",5305.0
3,"Benin",2015,"MF",15,64,44.56,20.33,14.26,29.49,20.44,5.70,2.97,5.515,3.149,2.192,0.173,"BEN","Sub-Saharan Africa",5684.0
4,"Botswana",1950,"MF",15,64,70.58,26.89,5.35,2.37,0.56,0.17,0.10,1.401,1.305,0.090,0.005,"BWA","Sub-Saharan Africa",230.0
4,"Botswana",1955,"MF",15,64,69.99,27.44,5.66,2.40,0.56,0.17,0.10,1.435,1.338,0.092,0.005,"BWA","Sub-Saharan Africa",258.0
4,"Botswana",1960,"MF",15,64,69.46,27.92,6.62,2.45,0.57,0.17,0.10,1.491,1.392,0.093,0.005,"BWA","Sub-Saharan Africa",275.0
4,"Botswana",1965,"MF",15,64,64.17,32.77,8.58,2.84,0.52,0.12,0.08,1.760,1.654,0.102,0.004,"BWA","Sub-Saharan Africa",306.0
4,"Botswana",1970,"MF",15,64,54.78,39.28,8.76,5.36,0.98,0.59,0.33,2.326,2.098,0.210,0.018,"BWA","Sub-Saharan Africa",356.0
4,"Botswana",1975,"MF",15,64,50.40,42.26,16.51,6.83,1.49,0.51,0.28,2.847,2.571,0.260,0.016,"BWA","Sub-Saharan Africa",427.0
4,"Botswana",1980,"MF",15,64,44.10,45.41,16.31,10.20,2.54,0.37,0.21,3.286,2.900,0.375,0.012,"BWA","Sub-Saharan Africa",512.0
4,"Botswana",1985,"MF",15,64,35.73,28.64,15.30,33.42,10.25,2.21,1.19,5.418,4.032,1.318,0.068,"BWA","Sub-Saharan Africa",616.0
4,"Botswana",1990,"MF",15,64,25.43,13.58,7.36,57.70,26.39,3.30,2.00,7.532,5.002,2.424,0.106,"BWA","Sub-Saharan Africa",743.0
4,"Botswana",1995,"MF",15,64,17.90,10.55,5.90,67.81,28.20,3.74,2.15,8.487,5.584,2.785,0.118,"BWA","Sub-Saharan Africa",896.0
4,"Botswana",2000,"MF",15,64,13.51,8.11,4.65,75.03,30.47,3.35,2.09,9.070,5.933,3.028,0.109,"BWA","Sub-Saharan Africa",1020.0
4,"Botswana",2005,"MF",15,64,10.22,6.02,3.56,80.29,31.08,3.47,2.03,9.513,6.199,3.204,0.110,"BWA","Sub-Saharan Africa",1042.0
4,"Botswana",2010,"MF",15,64,7.14,4.97,3.27,83.95,30.62,3.95,2.18,9.892,6.441,3.328,0.123,"BWA","Sub-Saharan Africa",1039.0
4,"Botswana",2015,"MF",15,64,5.31,6.91,5.41,77.08,28.73,10.70,5.30,10.318,6.576,3.422,0.320,"BWA","Sub-Saharan Africa",1299.0
6,"Burundi",1950,"MF",15,64,91.70,7.74,2.97,0.52,0.16,0.05,0.02,0.439,0.414,0.023,0.001,"BDI","Sub-Saharan Africa",1372.0
6,"Burundi",1955,"MF",15,64,89.69,9.61,3.80,0.64,0.21,0.06,0.03,0.550,0.519,0.029,0.002,"BDI","Sub-Saharan Africa",1452.0
6,"Burundi",1960,"MF",15,64,86.93,12.09,4.98,0.88,0.31,0.10,0.05,0.710,0.666,0.042,0.003,"BDI","Sub-Saharan Africa",1557.0
6,"Burundi",1965,"MF",15,64,84.24,14.55,6.32,1.07,0.40,0.13,0.07,0.871,0.815,0.052,0.004,"BDI","Sub-Saharan Africa",1666.0
6,"Burundi",1970,"MF",15,64,80.20,17.95,8.32,1.63,0.62,0.22,0.11,1.137,1.049,0.081,0.006,"BDI","Sub-Saharan Africa",1835.0
6,"Burundi",1975,"MF",15,64,76.74,20.80,10.30,2.17,0.85,0.29,0.15,1.378,1.261,0.108,0.009,"BDI","Sub-Saharan Africa",1879.0
6,"Burundi",1980,"MF",15,64,74.50,22.58,11.86,2.51,1.07,0.41,0.21,1.553,1.409,0.132,0.012,"BDI","Sub-Saharan Africa",2139.0
6,"Burundi",1985,"MF",15,64,73.03,23.57,12.94,2.90,1.28,0.50,0.28,1.627,1.455,0.156,0.016,"BDI","Sub-Saharan Africa",2566.0
6,"Burundi",1990,"MF",15,64,69.83,26.04,15.08,3.66,1.71,0.48,0.29,1.889,1.684,0.189,0.015,"BDI","Sub-Saharan Africa",2920.0
6,"Burundi",1995,"MF",15,64,63.00,31.79,19.62,4.73,2.26,0.48,0.29,2.285,2.018,0.252,0.015,"BDI","Sub-Saharan Africa",3063.0
6,"Burundi",2000,"MF",15,64,56.59,37.21,24.15,5.72,2.78,0.48,0.29,2.667,2.335,0.317,0.015,"BDI","Sub-Saharan Africa",3188.0
6,"Burundi",2005,"MF",15,64,52.95,39.19,26.36,7.18,3.49,0.69,0.37,2.969,2.529,0.418,0.021,"BDI","Sub-Saharan Africa",3946.0
6,"Burundi",2010,"MF",15,64,48.92,40.45,27.83,9.55,4.73,1.08,0.57,3.459,2.882,0.544,0.033,"BDI","Sub-Saharan Africa",4834.0
6,"Burundi",2015,"MF",15,64,47.62,39.89,17.92,10.53,4.66,1.97,0.91,3.435,2.775,0.603,0.058,"BDI","Sub-Saharan Africa",5321.0
7,"Cameroon",1950,"MF",15,64,86.04,11.77,4.19,2.12,0.60,0.07,0.04,0.720,0.610,0.108,0.002,"CMR","Sub-Saharan Africa",2540.0
7,"Cameroon",1955,"MF",15,64,82.30,14.92,5.50,2.67,0.82,0.11,0.06,0.922,0.779,0.139,0.003,"CMR","Sub-Saharan Africa",2751.0
7,"Cameroon",1960,"MF",15,64,78.64,18.00,6.91,3.21,1.04,0.14,0.08,1.123,0.949,0.170,0.004,"CMR","Sub-Saharan Africa",2991.0
7,"Cameroon",1965,"MF",15,64,72.70,22.33,9.22,4.76,1.65,0.21,0.10,1.505,1.245,0.255,0.006,"CMR","Sub-Saharan Africa",3267.0
7,"Cameroon",1970,"MF",15,64,65.94,27.63,12.28,6.17,2.21,0.26,0.14,1.922,1.583,0.332,0.008,"CMR","Sub-Saharan Africa",3604.0
7,"Cameroon",1975,"MF",15,64,56.46,34.07,16.34,9.17,3.49,0.30,0.15,2.583,2.081,0.493,0.009,"CMR","Sub-Saharan Africa",4011.0
7,"Cameroon",1980,"MF",15,64,47.97,39.02,19.93,12.63,5.18,0.37,0.18,3.247,2.549,0.687,0.011,"CMR","Sub-Saharan Africa",4557.0
7,"Cameroon",1985,"MF",15,64,39.54,43.72,23.67,16.20,7.03,0.54,0.26,3.939,3.026,0.897,0.016,"CMR","Sub-Saharan Africa",5179.0
7,"Cameroon",1990,"MF",15,64,31.46,47.88,27.33,19.77,9.07,0.89,0.42,4.647,3.496,1.125,0.026,"CMR","Sub-Saharan Africa",5996.0
7,"Cameroon",1995,"MF",15,64,24.40,51.17,30.45,23.18,11.11,1.26,0.62,5.300,3.915,1.348,0.038,"CMR","Sub-Saharan Africa",6937.0
7,"Cameroon",2000,"MF",15,64,20.18,52.36,32.17,25.87,12.85,1.59,0.82,5.763,4.183,1.531,0.048,"CMR","Sub-Saharan Africa",7952.0
7,"Cameroon",2005,"MF",15,64,18.89,51.27,32.51,27.54,14.26,2.29,1.15,6.062,4.304,1.690,0.069,"CMR","Sub-Saharan Africa",8993.0
7,"Cameroon",2010,"MF",15,64,17.72,49.26,31.98,29.77,15.80,3.25,1.65,6.409,4.419,1.892,0.098,"CMR","Sub-Saharan Africa",10096.0
7,"Cameroon",2015,"MF",15,64,12.97,49.15,32.79,31.55,16.61,6.34,3.08,7.124,4.731,2.204,0.188,"CMR","Sub-Saharan Africa",12595.0
9,"Central African Republic",1950,"MF",15,64,91.89,6.85,2.30,1.14,0.29,0.09,0.05,0.411,0.348,0.060,0.003,"CAF","Sub-Saharan Africa",777.0
9,"Central African Republic",1955,"MF",15,64,91.13,7.43,2.57,1.26,0.34,0.10,0.06,0.453,0.382,0.068,0.003,"CAF","Sub-Saharan Africa",817.0
9,"Central African Republic",1960,"MF",15,64,90.04,8.32,3.02,1.45,0.41,0.12,0.07,0.516,0.434,0.079,0.004,"CAF","Sub-Saharan Africa",866.0
9,"Central African Republic",1965,"MF",15,64,88.65,9.10,3.50,2.04,0.64,0.14,0.08,0.625,0.509,0.111,0.004,"CAF","Sub-Saharan Africa",933.0
9,"Central African Republic",1970,"MF",15,64,84.70,12.18,5.22,2.89,0.93,0.17,0.09,0.866,0.706,0.155,0.005,"CAF","Sub-Saharan Africa",1035.0
9,"Central African Republic",1975,"MF",15,64,79.48,16.08,7.60,4.26,1.51,0.18,0.10,1.210,0.977,0.228,0.006,"CAF","Sub-Saharan Africa",1123.0
9,"Central African Republic",1980,"MF",15,64,73.20,19.03,9.73,6.99,2.71,0.73,0.36,1.759,1.326,0.412,0.022,"CAF","Sub-Saharan Africa",1249.0
9,"Central African Republic",1985,"MF",15,64,68.64,21.09,11.42,8.90,3.76,1.33,0.73,2.191,1.589,0.561,0.041,"CAF","Sub-Saharan Africa",1434.0
9,"Central African Republic",1990,"MF",15,64,62.38,24.09,13.91,11.87,5.51,1.65,1.02,2.761,1.952,0.756,0.053,"CAF","Sub-Saharan Africa",1574.0
9,"Central African Republic",1995,"MF",15,64,56.90,27.32,16.56,14.19,6.90,1.59,0.99,3.200,2.263,0.886,0.052,"CAF","Sub-Saharan Africa",1805.0
9,"Central African Republic",2000,"MF",15,64,53.30,29.15,18.25,15.92,8.05,1.62,1.00,3.520,2.475,0.992,0.052,"CAF","Sub-Saharan Africa",1997.0
9,"Central African Republic",2005,"MF",15,64,50.62,30.33,19.82,17.45,9.07,1.61,0.97,3.782,2.648,1.083,0.052,"CAF","Sub-Saharan Africa",2139.0
9,"Central African Republic",2010,"MF",15,64,49.11,30.29,20.36,18.99,10.28,1.61,0.96,3.987,2.755,1.181,0.051,"CAF","Sub-Saharan Africa",2342.0
9,"Central African Republic",2015,"MF",15,64,48.63,29.62,20.23,19.80,10.74,1.95,1.07,4.112,2.801,1.251,0.060,"CAF","Sub-Saharan Africa",2335.0
12,"Congo",1950,"MF",15,64,84.43,12.05,3.04,3.40,0.38,0.11,0.05,0.821,0.663,0.155,0.003,"COG","Sub-Saharan Africa",456.0
12,"Congo",1955,"MF",15,64,81.13,14.72,4.59,3.96,0.45,0.18,0.08,1.018,0.828,0.185,0.005,"COG","Sub-Saharan Africa",500.0
12,"Congo",1960,"MF",15,64,77.89,17.22,5.55,4.62,0.55,0.25,0.12,1.203,0.976,0.219,0.008,"COG","Sub-Saharan Africa",553.0
12,"Congo",1965,"MF",15,64,72.29,19.92,7.45,7.22,1.06,0.56,0.24,1.664,1.288,0.360,0.016,"COG","Sub-Saharan Africa",619.0
