BLcode,WBcode,region_code,country,year,sex,priad,secad,ter
131,"AUS","Advanced Economies","Australia",1820,"F",21.60,0.01,0.00
131,"AUS","Advanced Economies","Australia",1825,"F",23.79,0.01,0.00
131,"AUS","Advanced Economies","Australia",1830,"F",26.12,0.02,0.00
131,"AUS","Advanced Economies","Australia",1835,"F",28.61,0.03,0.00
131,"AUS","Advanced Economies","Australia",1840,"F",31.23,0.04,0.00
131,"AUS","Advanced Economies","Australia",1845,"F",33.97,0.05,0.00
131,"AUS","Advanced Economies","Australia",1850,"F",36.84,0.07,0.00
131,"AUS","Advanced Economies","Australia",1855,"F",39.80,0.10,0.00
131,"AUS","Advanced Economies","Australia",1860,"F",42.83,0.14,0.01
131,"AUS","Advanced Economies","Australia",1865,"F",45.93,0.20,0.01
131,"AUS","Advanced Economies","Australia",1870,"F",49.06,0.28,0.01
131,"AUS","Advanced Economies","Australia",1875,"F",52.20,0.39,0.02
131,"AUS","Advanced Economies","Australia",1880,"F",55.33,0.55,0.02
131,"AUS","Advanced Economies","Australia",1885,"F",58.43,0.77,0.03
131,"AUS","Advanced Economies","Australia",1890,"F",47.87,1.08,0.04
131,"AUS","Advanced Economies","Australia",1895,"F",52.05,1.51,0.06
131,"AUS","Advanced Economies","Australia",1900,"F",56.23,2.11,0.09
131,"AUS","Advanced Economies","Australia",1905,"F",60.41,2.95,0.13
131,"AUS","Advanced Economies","Australia",1910,"F",64.58,4.10,0.19
131,"AUS","Advanced Economies","Australia",1915,"F",68.76,5.68,0.27
131,"AUS","Advanced Economies","Australia",1920,"F",72.94,7.81,0.39
131,"AUS","Advanced Economies","Australia",1925,"F",77.12,10.66,0.56
131,"AUS","Advanced Economies","Australia",1930,"F",81.29,14.38,0.81
131,"AUS","Advanced Economies","Australia",1935,"F",85.47,14.97,1.16
131,"AUS","Advanced Economies","Australia",1940,"F",89.65,19.05,1.65
131,"AUS","Advanced Economies","Australia",1945,"F",93.83,23.97,2.16
131,"AUS","Advanced Economies","Australia",1950,"F",98.00,34.97,5.55
131,"AUS","Advanced Economies","Australia",1955,"F",100.00,39.66,3.43
131,"AUS","Advanced Economies","Australia",1960,"F",82.30,54.25,7.07
131,"AUS","Advanced Economies","Australia",1965,"F",83.88,55.17,9.71
131,"AUS","Advanced Economies","Australia",1970,"F",91.00,73.56,11.20
131,"AUS","Advanced Economies","Australia",1975,"F",97.00,80.00,19.80
131,"AUS","Advanced Economies","Australia",1980,"F",100.00,78.00,23.90
131,"AUS","Advanced Economies","Australia",1985,"F",97.00,87.00,27.00
131,"AUS","Advanced Economies","Australia",1990,"F",98.00,79.00,38.20
131,"AUS","Advanced Economies","Australia",1995,"F",99.85,90.00,73.50
131,"AUS","Advanced Economies","Australia",2000,"F",95.00,100.00,72.00
131,"AUS","Advanced Economies","Australia",2005,"F",95.00,100.00,79.00
131,"AUS","Advanced Economies","Australia",2010,"F",97.00,100.00,93.00
107,"AUT","Advanced Economies","Austria",1820,"F",10.76,0.00,0.00
107,"AUT","Advanced Economies","Austria",1825,"F",11.97,0.00,0.00
107,"AUT","Advanced Economies","Austria",1830,"F",13.30,0.00,0.00
107,"AUT","Advanced Economies","Austria",1835,"F",14.76,0.00,0.00
107,"AUT","Advanced Economies","Austria",1840,"F",16.34,0.00,0.00
107,"AUT","Advanced Economies","Austria",1845,"F",18.05,0.00,0.00
107,"AUT","Advanced Economies","Austria",1850,"F",19.91,0.00,0.00
107,"AUT","Advanced Economies","Austria",1855,"F",21.90,0.00,0.01
107,"AUT","Advanced Economies","Austria",1860,"F",24.03,0.01,0.01
107,"AUT","Advanced Economies","Austria",1865,"F",26.31,0.01,0.01
107,"AUT","Advanced Economies","Austria",1870,"F",28.72,0.02,0.01
107,"AUT","Advanced Economies","Austria",1875,"F",40.53,0.02,0.02
107,"AUT","Advanced Economies","Austria",1880,"F",52.35,0.03,0.02
