BLcode,WBcode,region_code,country,year,sex,priad,secad,ter
131,"AUS","Advanced Economies","Australia",1820,"MF",36.32,0.01,0.01
131,"AUS","Advanced Economies","Australia",1825,"MF",38.76,0.02,0.01
131,"AUS","Advanced Economies","Australia",1830,"MF",41.26,0.02,0.02
131,"AUS","Advanced Economies","Australia",1835,"MF",43.81,0.03,0.02
131,"AUS","Advanced Economies","Australia",1840,"MF",46.40,0.04,0.03
131,"AUS","Advanced Economies","Australia",1845,"MF",49.01,0.06,0.03
131,"AUS","Advanced Economies","Australia",1850,"MF",51.62,0.09,0.05
131,"AUS","Advanced Economies","Australia",1855,"MF",54.23,0.12,0.06
131,"AUS","Advanced Economies","Australia",1860,"MF",56.82,0.17,0.08
131,"AUS","Advanced Economies","Australia",1865,"MF",66.64,0.24,0.10
131,"AUS","Advanced Economies","Australia",1870,"MF",76.47,0.33,0.13
131,"AUS","Advanced Economies","Australia",1875,"MF",88.23,0.46,0.17
131,"AUS","Advanced Economies","Australia",1880,"MF",100.00,0.64,0.22
131,"AUS","Advanced Economies","Australia",1885,"MF",98.39,0.89,0.28
131,"AUS","Advanced Economies","Australia",1890,"MF",96.78,1.24,0.36
131,"AUS","Advanced Economies","Australia",1895,"MF",98.39,1.73,0.47
131,"AUS","Advanced Economies","Australia",1900,"MF",100.00,2.40,0.61
131,"AUS","Advanced Economies","Australia",1905,"MF",100.00,3.31,0.79
131,"AUS","Advanced Economies","Australia",1910,"MF",100.00,4.56,0.87
131,"AUS","Advanced Economies","Australia",1915,"MF",100.00,6.26,1.09
131,"AUS","Advanced Economies","Australia",1920,"MF",100.00,8.53,1.96
131,"AUS","Advanced Economies","Australia",1925,"MF",100.00,11.52,1.65
131,"AUS","Advanced Economies","Australia",1930,"MF",100.00,15.38,1.85
131,"AUS","Advanced Economies","Australia",1935,"MF",99.52,16.02,2.01
131,"AUS","Advanced Economies","Australia",1940,"MF",99.05,20.64,2.86
131,"AUS","Advanced Economies","Australia",1945,"MF",98.57,25.78,3.52
131,"AUS","Advanced Economies","Australia",1950,"MF",98.09,40.53,8.19
131,"AUS","Advanced Economies","Australia",1955,"MF",100.00,46.23,5.94
131,"AUS","Advanced Economies","Australia",1960,"MF",81.50,46.31,13.10
131,"AUS","Advanced Economies","Australia",1965,"MF",78.34,56.30,16.00
131,"AUS","Advanced Economies","Australia",1970,"MF",91.00,74.46,16.60
131,"AUS","Advanced Economies","Australia",1975,"MF",96.00,79.00,24.00
131,"AUS","Advanced Economies","Australia",1980,"MF",100.00,76.00,25.40
131,"AUS","Advanced Economies","Australia",1985,"MF",97.00,86.00,27.70
131,"AUS","Advanced Economies","Australia",1990,"MF",98.00,78.00,35.50
131,"AUS","Advanced Economies","Australia",1995,"MF",99.85,89.00,71.70
131,"AUS","Advanced Economies","Australia",2000,"MF",95.00,100.00,65.00
131,"AUS","Advanced Economies","Australia",2005,"MF",95.00,100.00,71.00
131,"AUS","Advanced Economies","Australia",2010,"MF",96.00,100.00,80.00
107,"AUT","Advanced Economies","Austria",1820,"MF",27.42,0.00,0.26
107,"AUT","Advanced Economies","Austria",1825,"MF",29.12,0.00,0.31
107,"AUT","Advanced Economies","Austria",1830,"MF",30.89,0.00,0.36
107,"AUT","Advanced Economies","Austria",1835,"MF",32.72,0.00,0.42
107,"AUT","Advanced Economies","Austria",1840,"MF",34.60,0.01,0.49
107,"AUT","Advanced Economies","Austria",1845,"MF",36.53,0.01,0.57
107,"AUT","Advanced Economies","Austria",1850,"MF",38.51,0.01,0.81
107,"AUT","Advanced Economies","Austria",1855,"MF",40.52,0.02,0.64
107,"AUT","Advanced Economies","Austria",1860,"MF",42.58,0.03,0.60
107,"AUT","Advanced Economies","Austria",1865,"MF",44.65,0.04,0.62
107,"AUT","Advanced Economies","Austria",1870,"MF",46.75,0.06,0.84
107,"AUT","Advanced Economies","Austria",1875,"MF",54.23,0.08,0.88
107,"AUT","Advanced Economies","Austria",1880,"MF",61.71,0.12,0.89
107,"AUT","Advanced Economies","Austria",1885,"MF",67.85,0.16,1.05
107,"AUT","Advanced Economies","Austria",1890,"MF",73.98,0.23,1.09
107,"AUT","Advanced Economies","Austria",1895,"MF",76.14,0.34,1.21
107,"AUT","Advanced Economies","Austria",1900,"MF",78.31,0.48,1.36
107,"AUT","Advanced Economies","Austria",1905,"MF",80.29,0.68,1.77
107,"AUT","Advanced Economies","Austria",1910,"MF",82.28,0.97,2.15
107,"AUT","Advanced Economies","Austria",1915,"MF",90.11,1.38,0.70
107,"AUT","Advanced Economies","Austria",1920,"MF",97.94,1.97,4.87
107,"AUT","Advanced Economies","Austria",1925,"MF",98.97,2.79,3.73
107,"AUT","Advanced Economies","Austria",1930,"MF",100.00,3.94,5.18
107,"AUT","Advanced Economies","Austria",1935,"MF",100.00,5.54,4.53
107,"AUT","Advanced Economies","Austria",1940,"MF",100.00,7.74,2.42
107,"AUT","Advanced Economies","Austria",1945,"MF",100.00,10.70,6.08
107,"AUT","Advanced Economies","Austria",1950,"MF",100.00,14.64,6.20
107,"AUT","Advanced Economies","Austria",1955,"MF",100.00,20.44,1.89
107,"AUT","Advanced Economies","Austria",1960,"MF",91.00,49.04,8.00
107,"AUT","Advanced Economies","Austria",1965,"MF",92.00,51.00,9.00
107,"AUT","Advanced Economies","Austria",1970,"MF",92.00,68.00,11.80
107,"AUT","Advanced Economies","Austria",1975,"MF",89.00,71.00,18.90
107,"AUT","Advanced Economies","Austria",1980,"MF",87.00,69.31,23.20
107,"AUT","Advanced Economies","Austria",1985,"MF",86.00,72.20,26.40
107,"AUT","Advanced Economies","Austria",1990,"MF",91.00,90.00,35.20
107,"AUT","Advanced Economies","Austria",1995,"MF",97.00,97.85,46.60
107,"AUT","Advanced Economies","Austria",2000,"MF",100.00,95.97,57.00
107,"AUT","Advanced Economies","Austria",2005,"MF",98.76,97.93,47.00
107,"AUT","Advanced Economies","Austria",2010,"MF",97.54,96.38,69.00
108,"BEL","Advanced Economies","Belgium",1820,"MF",36.38,0.17,0.14
108,"BEL","Advanced Economies","Belgium",1825,"MF",38.78,0.22,0.26
108,"BEL","Advanced Economies","Belgium",1830,"MF",41.25,0.28,0.18
108,"BEL","Advanced Economies","Belgium",1835,"MF",57.38,0.36,0.19
108,"BEL","Advanced Economies","Belgium",1840,"MF",63.78,0.46,0.23
108,"BEL","Advanced Economies","Belgium",1845,"MF",58.99,0.58,0.25
