BLcode,WBcode,region_code,country,year,sex,priad,secad,ter
131,"AUS","Advanced Economies","Australia",1820,"M",46.77,0.01,0.02
131,"AUS","Advanced Economies","Australia",1825,"M",49.78,0.02,0.02
131,"AUS","Advanced Economies","Australia",1830,"M",52.82,0.03,0.03
131,"AUS","Advanced Economies","Australia",1835,"M",55.88,0.04,0.04
131,"AUS","Advanced Economies","Australia",1840,"M",58.94,0.05,0.05
131,"AUS","Advanced Economies","Australia",1845,"M",61.97,0.07,0.06
131,"AUS","Advanced Economies","Australia",1850,"M",64.96,0.10,0.08
131,"AUS","Advanced Economies","Australia",1855,"M",67.90,0.14,0.10
131,"AUS","Advanced Economies","Australia",1860,"M",70.72,0.20,0.13
131,"AUS","Advanced Economies","Australia",1865,"M",87.02,0.28,0.18
131,"AUS","Advanced Economies","Australia",1870,"M",99.99,0.38,0.24
131,"AUS","Advanced Economies","Australia",1875,"M",99.99,0.53,0.31
131,"AUS","Advanced Economies","Australia",1880,"M",99.99,0.73,0.39
131,"AUS","Advanced Economies","Australia",1885,"M",99.99,1.02,0.51
131,"AUS","Advanced Economies","Australia",1890,"M",99.99,1.40,0.65
131,"AUS","Advanced Economies","Australia",1895,"M",99.99,1.94,0.86
131,"AUS","Advanced Economies","Australia",1900,"M",99.99,2.68,1.13
131,"AUS","Advanced Economies","Australia",1905,"M",99.99,3.67,1.43
131,"AUS","Advanced Economies","Australia",1910,"M",99.99,5.01,1.52
131,"AUS","Advanced Economies","Australia",1915,"M",99.99,6.83,1.89
131,"AUS","Advanced Economies","Australia",1920,"M",99.99,9.24,3.55
131,"AUS","Advanced Economies","Australia",1925,"M",99.99,12.36,2.73
131,"AUS","Advanced Economies","Australia",1930,"M",99.99,16.35,2.86
131,"AUS","Advanced Economies","Australia",1935,"M",99.99,17.03,2.83
131,"AUS","Advanced Economies","Australia",1940,"M",99.99,22.22,4.04
131,"AUS","Advanced Economies","Australia",1945,"M",99.99,27.64,4.88
131,"AUS","Advanced Economies","Australia",1950,"M",98.18,45.89,10.71
131,"AUS","Advanced Economies","Australia",1955,"M",99.99,52.47,8.30
131,"AUS","Advanced Economies","Australia",1960,"M",80.75,38.76,18.80
131,"AUS","Advanced Economies","Australia",1965,"M",73.06,57.37,21.97
131,"AUS","Advanced Economies","Australia",1970,"M",91.00,75.32,21.77
131,"AUS","Advanced Economies","Australia",1975,"M",95.05,78.04,28.05
131,"AUS","Advanced Economies","Australia",1980,"M",99.99,74.08,26.85
131,"AUS","Advanced Economies","Australia",1985,"M",97.00,85.04,28.38
131,"AUS","Advanced Economies","Australia",1990,"M",98.00,77.04,32.88
131,"AUS","Advanced Economies","Australia",1995,"M",99.85,88.04,69.95
131,"AUS","Advanced Economies","Australia",2000,"M",95.00,99.99,58.14
131,"AUS","Advanced Economies","Australia",2005,"M",95.00,99.99,63.25
131,"AUS","Advanced Economies","Australia",2010,"M",95.05,99.99,67.64
107,"AUT","Advanced Economies","Austria",1820,"M",44.29,0.01,0.54
107,"AUT","Advanced Economies","Austria",1825,"M",46.49,0.01,0.63
107,"AUT","Advanced Economies","Austria",1830,"M",48.70,0.01,0.73
107,"AUT","Advanced Economies","Austria",1835,"M",50.89,0.01,0.85
107,"AUT","Advanced Economies","Austria",1840,"M",53.07,0.01,0.99
107,"AUT","Advanced Economies","Austria",1845,"M",55.21,0.02,1.16
107,"AUT","Advanced Economies","Austria",1850,"M",57.30,0.02,1.66
107,"AUT","Advanced Economies","Austria",1855,"M",59.33,0.03,1.30
107,"AUT","Advanced Economies","Austria",1860,"M",61.29,0.05,1.22
107,"AUT","Advanced Economies","Austria",1865,"M",63.16,0.07,1.26
107,"AUT","Advanced Economies","Austria",1870,"M",64.93,0.10,1.70
107,"AUT","Advanced Economies","Austria",1875,"M",68.03,0.14,1.78
107,"AUT","Advanced Economies","Austria",1880,"M",71.14,0.20,1.80
107,"AUT","Advanced Economies","Austria",1885,"M",71.55,0.29,2.11
107,"AUT","Advanced Economies","Austria",1890,"M",99.99,0.41,2.18
107,"AUT","Advanced Economies","Austria",1895,"M",80.93,0.58,2.42
107,"AUT","Advanced Economies","Austria",1900,"M",75.77,0.82,2.70
107,"AUT","Advanced Economies","Austria",1905,"M",80.84,1.17,3.53
107,"AUT","Advanced Economies","Austria",1910,"M",85.52,1.66,4.30
