BLcode,WBcode,region_code,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,pop
131,"AUS","Advanced Economies","Australia",1870,"F",25,64,68.1,31.8,9.5,0.1,0.0,0.0,0.0,1.25,1.25,0.00,0.00,268
131,"AUS","Advanced Economies","Australia",1875,"F",25,64,65.7,34.2,9.9,0.1,0.1,0.0,0.0,1.34,1.33,0.01,0.00,298
131,"AUS","Advanced Economies","Australia",1880,"F",25,64,63.2,36.6,12.4,0.2,0.1,0.0,0.0,1.49,1.48,0.01,0.00,352
131,"AUS","Advanced Economies","Australia",1885,"F",25,64,60.1,39.7,12.4,0.3,0.1,0.0,0.0,1.59,1.58,0.01,0.00,434
131,"AUS","Advanced Economies","Australia",1890,"F",25,64,56.8,42.8,12.8,0.4,0.1,0.0,0.0,1.71,1.69,0.02,0.00,541
131,"AUS","Advanced Economies","Australia",1895,"F",25,64,54.1,45.4,13.3,0.5,0.2,0.0,0.0,1.81,1.79,0.02,0.00,668
131,"AUS","Advanced Economies","Australia",1900,"F",25,64,39.2,57.8,16.8,3.0,0.9,0.0,0.0,2.53,2.42,0.11,0.00,852
131,"AUS","Advanced Economies","Australia",1905,"F",25,64,33.6,59.9,17.7,6.5,1.8,0.1,0.0,2.96,2.72,0.23,0.00,842
131,"AUS","Advanced Economies","Australia",1910,"F",25,64,29.6,60.4,18.5,10.0,2.8,0.1,0.0,3.33,2.97,0.36,0.00,908
131,"AUS","Advanced Economies","Australia",1915,"F",25,64,22.1,75.6,24.9,1.0,0.3,1.3,0.4,3.28,3.15,0.10,0.03,1075
131,"AUS","Advanced Economies","Australia",1920,"F",25,64,16.2,71.2,25.2,10.2,3.1,2.4,0.7,4.20,3.65,0.49,0.06,1238
131,"AUS","Advanced Economies","Australia",1925,"F",25,64,11.9,68.8,26.0,16.0,5.1,3.3,1.1,4.84,4.00,0.75,0.09,1382
131,"AUS","Advanced Economies","Australia",1930,"F",25,64,8.7,65.7,26.7,21.1,7.1,4.5,1.5,5.43,4.31,1.00,0.12,1563
131,"AUS","Advanced Economies","Australia",1935,"F",25,64,6.2,61.7,27.0,26.4,9.3,5.7,2.0,6.00,4.59,1.26,0.15,1563
131,"AUS","Advanced Economies","Australia",1940,"F",25,64,4.8,56.9,26.8,31.6,11.6,6.7,2.5,6.51,4.81,1.51,0.18,1718
131,"AUS","Advanced Economies","Australia",1945,"F",25,64,3.2,52.8,26.7,36.3,14.1,7.7,3.0,7.00,5.03,1.76,0.21,1903
