BLcode,WBcode,region_code,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,pop
131,"AUS","Advanced Economies","Australia",1870,"M",15,64,40.0,59.8,7.1,0.0,0.0,0.1,0.0,2.03,2.02,0.01,0.00,534
131,"AUS","Advanced Economies","Australia",1875,"M",15,64,34.0,65.7,7.9,0.1,0.0,0.2,0.1,2.24,2.22,0.01,0.00,608
131,"AUS","Advanced Economies","Australia",1880,"M",15,64,31.0,68.3,4.7,0.4,0.1,0.3,0.1,2.26,2.23,0.02,0.01,735
131,"AUS","Advanced Economies","Australia",1885,"M",15,64,26.1,72.7,7.2,0.9,0.2,0.3,0.1,2.53,2.47,0.05,0.01,870
131,"AUS","Advanced Economies","Australia",1890,"M",15,64,18.7,79.2,10.1,1.6,0.4,0.5,0.2,2.90,2.80,0.08,0.01,1044
131,"AUS","Advanced Economies","Australia",1895,"M",15,64,9.6,88.0,12.9,1.8,0.4,0.6,0.3,3.28,3.17,0.09,0.02,1105
131,"AUS","Advanced Economies","Australia",1900,"M",15,64,16.8,79.9,14.0,2.5,0.6,0.8,0.4,3.17,3.01,0.13,0.02,1217
131,"AUS","Advanced Economies","Australia",1905,"M",15,64,16.1,79.5,16.9,3.4,0.9,1.0,0.5,3.36,3.16,0.17,0.03,1289
131,"AUS","Advanced Economies","Australia",1910,"M",15,64,13.1,77.3,19.2,7.4,2.2,2.3,0.9,3.92,3.47,0.38,0.06,1487
131,"AUS","Advanced Economies","Australia",1915,"M",15,64,10.9,68.1,18.8,17.6,5.6,3.4,1.6,4.78,3.87,0.81,0.10,1638
131,"AUS","Advanced Economies","Australia",1920,"M",15,64,9.0,70.6,21.3,15.8,5.3,4.6,2.4,4.93,3.98,0.81,0.14,1758
131,"AUS","Advanced Economies","Australia",1925,"M",15,64,7.9,63.4,20.7,23.1,8.2,5.6,3.0,5.56,4.25,1.14,0.17,1966
131,"AUS","Advanced Economies","Australia",1930,"M",15,64,6.1,58.6,21.5,28.5,10.7,6.8,3.8,6.14,4.52,1.41,0.21,2226
131,"AUS","Advanced Economies","Australia",1935,"M",15,64,4.4,54.1,22.2,33.6,13.5,7.9,4.7,6.71,4.78,1.67,0.25,2226
131,"AUS","Advanced Economies","Australia",1940,"M",15,64,3.1,50.3,22.9,37.3,15.9,9.4,5.7,7.20,4.99,1.90,0.30,2361
131,"AUS","Advanced Economies","Australia",1945,"M",15,64,1.7,46.1,22.8,41.5,18.7,10.7,6.6,7.70,5.20,2.15,0.35,2526
131,"AUS","Advanced Economies","Australia",1950,"M",15,64,1.2,40.7,25.7,44.9,25.6,13.2,9.0,8.44,5.48,2.52,0.44,2727
131,"AUS","Advanced Economies","Australia",1955,"M",15,64,1.0,36.1,21.6,48.6,29.2,14.3,9.5,8.74,5.51,2.76,0.48,2946
131,"AUS","Advanced Economies","Australia",1960,"M",15,64,0.8,32.0,18.1,51.8,32.9,15.3,10.1,9.02,5.53,2.98,0.51,3235
131,"AUS","Advanced Economies","Australia",1965,"M",15,64,0.7,27.0,15.1,55.2,37.1,17.1,10.7,9.41,5.60,3.25,0.56,3644
131,"AUS","Advanced Economies","Australia",1970,"M",15,64,0.6,19.4,10.7,50.0,36.2,30.0,20.8,10.58,5.70,3.86,1.01,4090
131,"AUS","Advanced Economies","Australia",1975,"M",15,64,0.7,10.6,5.7,61.6,46.4,27.1,17.2,11.10,5.81,4.40,0.89,4417
131,"AUS","Advanced Economies","Australia",1980,"M",15,64,0.6,5.3,2.8,67.1,52.4,26.9,16.3,11.54,5.88,4.80,0.86,4830
131,"AUS","Advanced Economies","Australia",1985,"M",15,64,0.9,7.1,4.2,65.2,53.5,26.7,16.4,11.55,5.85,4.84,0.86,5260
131,"AUS","Advanced Economies","Australia",1990,"M",15,64,0.8,8.6,5.8,63.7,54.6,26.8,16.3,11.52,5.86,4.80,0.86,5732
131,"AUS","Advanced Economies","Australia",1995,"M",15,64,1.0,9.7,6.8,60.5,53.9,28.9,16.7,11.53,5.85,4.77,0.91,5964
131,"AUS","Advanced Economies","Australia",2000,"M",15,64,0.7,10.2,7.4,67.7,63.0,21.3,13.9,11.35,5.87,4.77,0.70,6323
131,"AUS","Advanced Economies","Australia",2005,"M",15,64,0.6,9.4,7.1,64.6,61.0,25.5,16.6,11.63,5.90,4.89,0.84,6788
131,"AUS","Advanced Economies","Australia",2010,"M",15,64,0.5,7.9,6.1,64.4,43.2,27.2,18.5,11.61,6.02,4.68,0.91,7181
107,"AUT","Advanced Economies","Austria",1870,"M",15,64,42.6,55.6,7.7,1.1,0.2,0.6,0.2,2.79,2.67,0.10,0.02,6006
107,"AUT","Advanced Economies","Austria",1875,"M",15,64,40.6,57.5,10.8,1.2,0.2,0.7,0.3,3.01,2.88,0.11,0.02,6180
107,"AUT","Advanced Economies","Austria",1880,"M",15,64,38.5,59.4,13.5,1.3,0.2,0.8,0.3,3.22,3.08,0.12,0.02,6600
107,"AUT","Advanced Economies","Austria",1885,"M",15,64,36.3,61.5,16.0,1.4,0.1,0.8,0.4,3.43,3.28,0.13,0.02,6704
