BLcode,WBcode,region_code,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,pop
131,"AUS","Advanced Economies","Australia",1870,"MF",25,64,53.6,46.3,8.7,0.0,0.0,0.1,0.0,1.66,1.66,0.01,0.00,675
131,"AUS","Advanced Economies","Australia",1875,"MF",25,64,51.3,48.6,8.7,0.1,0.0,0.1,0.0,1.74,1.73,0.01,0.00,735
131,"AUS","Advanced Economies","Australia",1880,"MF",25,64,48.3,51.5,7.5,0.1,0.0,0.1,0.1,1.79,1.78,0.01,0.00,850
131,"AUS","Advanced Economies","Australia",1885,"MF",25,64,43.1,56.5,9.2,0.2,0.0,0.2,0.1,2.01,1.99,0.01,0.00,1029
131,"AUS","Advanced Economies","Australia",1890,"MF",25,64,36.1,63.4,11.4,0.2,0.1,0.2,0.1,2.30,2.27,0.02,0.01,1261
131,"AUS","Advanced Economies","Australia",1895,"MF",25,64,29.1,70.3,13.8,0.3,0.1,0.3,0.1,2.60,2.56,0.03,0.01,1437
131,"AUS","Advanced Economies","Australia",1900,"MF",25,64,28.1,69.5,14.9,2.0,0.5,0.4,0.2,2.77,2.68,0.09,0.01,1704
131,"AUS","Advanced Economies","Australia",1905,"MF",25,64,24.5,70.8,16.7,4.2,1.2,0.5,0.2,3.09,2.90,0.17,0.01,1741
131,"AUS","Advanced Economies","Australia",1910,"MF",25,64,22.1,70.9,18.3,6.4,1.9,0.6,0.3,3.37,3.09,0.26,0.02,1940
131,"AUS","Advanced Economies","Australia",1915,"MF",25,64,17.2,71.4,20.1,9.5,2.9,2.0,0.9,3.93,3.43,0.44,0.06,2251
131,"AUS","Advanced Economies","Australia",1920,"MF",25,64,13.1,71.3,22.0,12.3,4.0,3.2,1.5,4.44,3.74,0.61,0.10,2542
131,"AUS","Advanced Economies","Australia",1925,"MF",25,64,10.0,69.9,23.5,15.8,5.4,4.3,2.1,4.94,4.01,0.80,0.13,2825
131,"AUS","Advanced Economies","Australia",1930,"MF",25,64,7.5,65.7,24.2,21.1,7.6,5.7,2.9,5.55,4.31,1.07,0.17,3179
131,"AUS","Advanced Economies","Australia",1935,"MF",25,64,5.3,61.2,24.7,26.4,10.1,7.1,3.7,6.16,4.59,1.35,0.22,3179
131,"AUS","Advanced Economies","Australia",1940,"MF",25,64,3.9,56.2,24.8,31.4,12.6,8.4,4.5,6.70,4.82,1.62,0.26,3474
131,"AUS","Advanced Economies","Australia",1945,"MF",25,64,2.5,51.8,25.0,36.1,15.4,9.6,5.2,7.21,5.05,1.87,0.30,3827
131,"AUS","Advanced Economies","Australia",1950,"MF",25,64,1.2,45.9,30.1,41.8,21.1,11.0,7.2,8.05,5.45,2.23,0.37,4169
131,"AUS","Advanced Economies","Australia",1955,"MF",25,64,1.0,42.1,25.7,45.0,24.2,11.9,7.7,8.26,5.44,2.43,0.39,4557
131,"AUS","Advanced Economies","Australia",1960,"MF",25,64,0.9,37.7,21.4,48.5,27.7,12.9,8.4,8.54,5.46,2.65,0.43,4873
131,"AUS","Advanced Economies","Australia",1965,"MF",25,64,0.8,33.6,18.5,51.8,31.5,13.8,9.0,8.82,5.49,2.87,0.45,5266
131,"AUS","Advanced Economies","Australia",1970,"MF",25,64,0.8,25.0,13.4,51.1,33.3,23.2,15.2,9.73,5.61,3.36,0.77,5772
131,"AUS","Advanced Economies","Australia",1975,"MF",25,64,0.9,13.9,7.3,64.6,45.1,20.6,13.4,10.30,5.75,3.87,0.68,6312
131,"AUS","Advanced Economies","Australia",1980,"MF",25,64,0.9,6.9,3.5,69.7,51.5,22.5,14.6,11.00,5.84,4.42,0.74,6978
131,"AUS","Advanced Economies","Australia",1985,"MF",25,64,1.0,7.1,3.4,66.1,52.1,25.7,16.6,11.30,5.82,4.63,0.85,7709
131,"AUS","Advanced Economies","Australia",1990,"MF",25,64,1.1,7.9,3.7,63.2,52.9,27.8,18.1,11.52,5.81,4.79,0.92,8563
