BLcode,WBcode,region_code,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,pop
131,"AUS","Advanced Economies","Australia",2015,"F",25,64,0.5,5.0,2.8,57.2,37.6,37.3,21.0,13.33,6.89,5.28,1.17,6344
131,"AUS","Advanced Economies","Australia",2020,"F",25,64,0.8,3.4,2.2,62.8,44.9,33.1,18.7,13.33,6.90,5.39,1.03,6607
131,"AUS","Advanced Economies","Australia",2025,"F",25,64,1.0,2.7,1.9,67.8,51.4,28.5,16.1,13.25,6.91,5.45,0.89,6809
131,"AUS","Advanced Economies","Australia",2030,"F",25,64,1.0,2.2,1.8,72.4,57.9,24.4,13.8,13.20,6.92,5.52,0.76,6979
131,"AUS","Advanced Economies","Australia",2035,"F",25,64,1.0,2.1,1.9,77.1,63.9,19.8,11.2,13.09,6.92,5.55,0.62,7231
131,"AUS","Advanced Economies","Australia",2040,"F",25,64,0.9,2.1,2.0,81.5,69.8,15.5,8.7,13.00,6.93,5.58,0.48,7502
107,"AUT","Advanced Economies","Austria",2015,"F",25,64,1.8,17.3,13.8,64.1,49.4,16.7,9.4,10.26,3.86,5.88,0.52,2370
107,"AUT","Advanced Economies","Austria",2020,"F",25,64,1.8,14.5,11.7,68.4,54.7,15.2,8.6,10.49,3.87,6.14,0.48,2402
107,"AUT","Advanced Economies","Austria",2025,"F",25,64,1.9,12.3,10.0,67.3,55.3,18.5,10.5,10.84,3.88,6.38,0.58,2370
107,"AUT","Advanced Economies","Austria",2030,"F",25,64,2.0,9.6,8.0,71.8,60.5,16.5,9.3,11.02,3.89,6.62,0.52,2281
107,"AUT","Advanced Economies","Austria",2035,"F",25,64,1.8,7.5,6.4,76.2,65.3,14.5,8.2,11.19,3.91,6.82,0.46,2193
107,"AUT","Advanced Economies","Austria",2040,"F",25,64,1.4,7.6,6.6,77.5,67.8,13.5,7.6,11.23,3.92,6.89,0.42,2163
108,"BEL","Advanced Economies","Belgium",2015,"F",25,64,4.6,6.4,3.9,51.5,37.4,37.5,23.5,11.65,5.65,4.78,1.22,2944
108,"BEL","Advanced Economies","Belgium",2020,"F",25,64,3.8,5.3,3.1,52.9,40.9,38.0,24.1,11.93,5.71,4.98,1.24,2944
108,"BEL","Advanced Economies","Belgium",2025,"F",25,64,3.3,5.0,3.0,53.3,43.6,38.4,24.6,12.11,5.74,5.11,1.26,2874
108,"BEL","Advanced Economies","Belgium",2030,"F",25,64,2.7,4.8,3.2,53.1,45.7,39.3,25.5,12.34,5.79,5.25,1.30,2800
108,"BEL","Advanced Economies","Belgium",2035,"F",25,64,2.3,5.4,4.1,53.0,47.2,39.3,25.8,12.43,5.82,5.30,1.30,2767
108,"BEL","Advanced Economies","Belgium",2040,"F",25,64,1.9,6.0,4.9,52.5,48.2,39.7,26.3,12.53,5.85,5.35,1.32,2762
50,"CAN","Advanced Economies","Canada",2015,"F",25,64,0.5,1.5,0.6,41.3,31.3,56.7,32.8,13.31,5.94,5.58,1.79,9875
50,"CAN","Advanced Economies","Canada",2020,"F",25,64,0.4,1.3,0.7,40.9,32.1,57.4,33.6,13.41,5.95,5.64,1.82,10083
50,"CAN","Advanced Economies","Canada",2025,"F",25,64,0.4,1.2,0.7,40.2,32.7,58.1,34.4,13.49,5.96,5.68,1.85,10052
50,"CAN","Advanced Economies","Canada",2030,"F",25,64,0.4,1.1,0.8,39.1,33.0,59.4,35.5,13.59,5.97,5.73,1.90,9928
50,"CAN","Advanced Economies","Canada",2035,"F",25,64,0.4,1.1,0.8,38.9,33.9,59.6,35.7,13.64,5.97,5.76,1.91,10049
50,"CAN","Advanced Economies","Canada",2040,"F",25,64,0.4,1.0,0.8,38.3,34.4,60.3,36.1,13.70,5.97,5.80,1.93,10268
110,"DNK","Advanced Economies","Denmark",2015,"F",25,64,4.1,0.2,0.1,61.5,42.7,34.2,19.3,12.01,5.76,5.18,1.07,1447
110,"DNK","Advanced Economies","Denmark",2020,"F",25,64,4.3,0.0,0.0,62.6,45.5,33.1,18.7,12.01,5.74,5.23,1.04,1464
