BLcode,WBcode,region_code,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,pop
131,"AUS","Advanced Economies","Australia",2015,"M",15,64,0.7,6.8,5.5,67.3,46.8,25.2,13.8,12.83,6.91,5.14,0.78,7888
131,"AUS","Advanced Economies","Australia",2020,"M",15,64,1.0,5.8,5.0,69.6,49.8,23.6,12.7,12.83,6.90,5.20,0.73,8171
131,"AUS","Advanced Economies","Australia",2025,"M",15,64,1.2,5.3,4.9,71.7,52.6,21.8,11.4,12.79,6.90,5.23,0.66,8480
131,"AUS","Advanced Economies","Australia",2030,"M",15,64,1.5,4.8,4.6,73.6,55.5,20.1,10.3,12.76,6.89,5.26,0.61,8824
131,"AUS","Advanced Economies","Australia",2035,"M",15,64,1.6,4.6,4.5,75.2,58.1,18.7,9.3,12.73,6.88,5.29,0.56,9205
131,"AUS","Advanced Economies","Australia",2040,"M",15,64,1.7,4.3,4.3,76.5,60.7,17.5,8.6,12.71,6.87,5.32,0.52,9559
107,"AUT","Advanced Economies","Austria",2015,"M",15,64,1.8,14.0,11.9,68.4,54.9,15.8,8.9,10.57,3.88,6.19,0.49,2867
107,"AUT","Advanced Economies","Austria",2020,"M",15,64,2.0,13.0,11.1,71.1,57.2,14.0,7.8,10.57,3.88,6.25,0.44,2871
107,"AUT","Advanced Economies","Austria",2025,"M",15,64,2.2,12.4,10.7,81.2,65.4,4.2,2.2,10.21,3.88,6.20,0.13,2830
107,"AUT","Advanced Economies","Austria",2030,"M",15,64,2.4,11.6,10.2,81.7,64.8,4.3,2.2,10.21,3.88,6.21,0.13,2755
107,"AUT","Advanced Economies","Austria",2035,"M",15,64,2.3,11.0,9.8,82.2,63.8,4.6,2.2,10.23,3.89,6.21,0.14,2694
107,"AUT","Advanced Economies","Austria",2040,"M",15,64,1.7,11.6,10.4,81.8,61.9,4.9,2.3,10.19,3.91,6.14,0.15,2696
108,"BEL","Advanced Economies","Belgium",2015,"M",15,64,3.2,7.9,5.2,60.6,41.1,28.3,20.6,11.26,5.73,4.55,0.98,3606
108,"BEL","Advanced Economies","Belgium",2020,"M",15,64,2.8,7.4,5.0,62.2,44.6,27.6,20.1,11.40,5.76,4.69,0.96,3581
108,"BEL","Advanced Economies","Belgium",2025,"M",15,64,2.4,7.5,5.0,63.4,47.7,26.7,19.3,11.48,5.78,4.78,0.92,3549
108,"BEL","Advanced Economies","Belgium",2030,"M",15,64,2.0,7.5,5.0,64.5,51.0,26.0,18.7,11.59,5.80,4.89,0.89,3504
108,"BEL","Advanced Economies","Belgium",2035,"M",15,64,1.7,7.9,5.3,65.4,53.6,25.0,17.8,11.63,5.82,4.95,0.86,3473
108,"BEL","Advanced Economies","Belgium",2040,"M",15,64,1.4,8.3,5.7,65.9,55.9,24.5,17.2,11.70,5.84,5.02,0.83,3468
50,"CAN","Advanced Economies","Canada",2015,"M",15,64,0.5,1.9,0.9,56.0,39.7,41.5,24.0,12.61,5.94,5.36,1.31,12174
50,"CAN","Advanced Economies","Canada",2020,"M",15,64,0.5,1.5,0.7,57.0,41.5,41.1,23.7,12.67,5.95,5.42,1.30,12319
50,"CAN","Advanced Economies","Canada",2025,"M",15,64,0.5,1.2,0.6,58.0,43.4,40.4,23.2,12.70,5.96,5.47,1.27,12365
50,"CAN","Advanced Economies","Canada",2030,"M",15,64,0.5,1.0,0.6,58.7,45.7,39.9,22.7,12.75,5.97,5.53,1.25,12406
50,"CAN","Advanced Economies","Canada",2035,"M",15,64,0.4,0.9,0.6,59.6,47.6,39.2,22.0,12.77,5.97,5.57,1.22,12661
50,"CAN","Advanced Economies","Canada",2040,"M",15,64,0.4,0.9,0.6,60.0,49.2,38.9,21.7,12.81,5.98,5.61,1.21,12977
110,"DNK","Advanced Economies","Denmark",2015,"M",15,64,2.7,0.1,0.1,70.8,41.8,26.4,13.9,11.60,5.84,4.96,0.81,1828
110,"DNK","Advanced Economies","Denmark",2020,"M",15,64,2.9,0.1,0.1,68.9,40.1,28.1,14.6,11.63,5.82,4.95,0.85,1834
110,"DNK","Advanced Economies","Denmark",2025,"M",15,64,2.9,0.1,0.1,67.2,38.0,29.7,15.3,11.66,5.82,4.94,0.90,1839
110,"DNK","Advanced Economies","Denmark",2030,"M",15,64,2.9,0.2,0.2,65.4,35.7,31.4,16.0,11.68,5.82,4.92,0.95,1827
110,"DNK","Advanced Economies","Denmark",2035,"M",15,64,2.9,0.3,0.2,64.4,33.3,32.4,16.4,11.67,5.82,4.87,0.97,1819
110,"DNK","Advanced Economies","Denmark",2040,"M",15,64,2.9,0.3,0.3,63.3,30.8,33.3,16.8,11.65,5.82,4.82,1.00,1832
111,"FIN","Advanced Economies","Finland",2015,"M",15,64,0.2,24.5,20.8,51.6,36.8,23.7,11.4,10.66,5.88,4.07,0.70,1745
111,"FIN","Advanced Economies","Finland",2020,"M",15,64,0.3,22.5,19.4,55.1,41.0,22.2,10.2,10.76,5.89,4.22,0.65,1709
111,"FIN","Advanced Economies","Finland",2025,"M",15,64,0.3,22.2,19.4,57.3,44.0,20.3,8.8,10.74,5.90,4.26,0.58,1692
111,"FIN","Advanced Economies","Finland",2030,"M",15,64,0.3,21.7,19.2,59.7,47.6,18.3,7.6,10.74,5.91,4.32,0.52,1680
111,"FIN","Advanced Economies","Finland",2035,"M",15,64,0.3,21.5,19.2,62.1,51.4,16.1,6.4,10.73,5.91,4.37,0.45,1680
111,"FIN","Advanced Economies","Finland",2040,"M",15,64,0.3,21.1,19.0,64.3,55.0,14.2,5.4,10.74,5.92,4.43,0.39,1701
112,"FRA","Advanced Economies","France",2015,"M",15,64,1.2,5.4,4.9,67.0,45.1,26.5,13.3,11.61,4.93,5.89,0.80,20373
112,"FRA","Advanced Economies","France",2020,"M",15,64,1.2,3.4,3.0,67.1,46.1,28.5,14.2,11.85,4.94,6.06,0.85,20488
112,"FRA","Advanced Economies","France",2025,"M",15,64,1.4,2.5,2.3,65.9,47.0,30.4,15.1,12.02,4.94,6.18,0.91,20618
112,"FRA","Advanced Economies","France",2030,"M",15,64,1.4,1.8,1.6,64.4,48.0,32.6,16.2,12.22,4.94,6.30,0.98,20691
112,"FRA","Advanced Economies","France",2035,"M",15,64,1.6,1.3,1.2,63.3,48.8,34.1,16.9,12.34,4.94,6.38,1.02,20760
112,"FRA","Advanced Economies","France",2040,"M",15,64,1.7,0.9,0.9,61.8,49.3,36.0,17.7,12.48,4.93,6.47,1.07,20838
190,"DEU","Advanced Economies","Germany",2015,"M",15,64,1.6,1.1,0.9,64.3,45.9,33.0,17.3,13.15,3.93,8.21,1.01,27341
190,"DEU","Advanced Economies","Germany",2020,"M",15,64,1.4,1.0,0.8,61.0,41.0,36.7,19.0,13.24,3.94,8.19,1.11,26534
190,"DEU","Advanced Economies","Germany",2025,"M",15,64,1.2,0.9,0.8,57.3,39.3,40.6,20.9,13.45,3.95,8.27,1.23,25336
190,"DEU","Advanced Economies","Germany",2030,"M",15,64,1.0,0.9,0.7,53.5,37.1,44.7,22.8,13.66,3.96,8.35,1.35,23697
190,"DEU","Advanced Economies","Germany",2035,"M",15,64,0.8,0.8,0.6,48.9,34.0,49.7,25.1,13.89,3.97,8.43,1.50,22248
190,"DEU","Advanced Economies","Germany",2040,"M",15,64,0.6,0.6,0.5,44.1,31.0,54.8,27.6,14.13,3.98,8.51,1.65,21596
114,"GRC","Advanced Economies","Greece",2015,"M",15,64,0.7,16.5,16.1,55.3,40.0,27.5,25.4,11.51,5.95,4.51,1.06,3665
114,"GRC","Advanced Economies","Greece",2020,"M",15,64,0.6,13.4,13.1,59.3,44.8,26.6,24.6,11.70,5.95,4.72,1.02,3587
114,"GRC","Advanced Economies","Greece",2025,"M",15,64,0.6,11.7,11.4,62.8,48.8,24.9,23.0,11.76,5.96,4.84,0.96,3535
114,"GRC","Advanced Economies","Greece",2030,"M",15,64,0.5,9.9,9.6,66.3,53.5,23.4,21.6,11.86,5.96,5.00,0.90,3466
114,"GRC","Advanced Economies","Greece",2035,"M",15,64,0.4,9.0,8.8,68.9,57.9,21.7,20.0,11.91,5.97,5.10,0.83,3334
114,"GRC","Advanced Economies","Greece",2040,"M",15,64,0.3,8.2,8.0,71.6,62.5,19.9,18.4,11.95,5.97,5.22,0.76,3186
116,"ISL","Advanced Economies","Iceland",2015,"M",15,64,1.8,22.1,18.2,34.0,19.5,42.0,21.6,12.75,6.73,4.74,1.27,113
116,"ISL","Advanced Economies","Iceland",2020,"M",15,64,1.8,17.9,14.9,30.4,17.3,49.9,25.6,13.38,6.77,5.10,1.51,116
116,"ISL","Advanced Economies","Iceland",2025,"M",15,64,1.3,14.3,12.0,27.4,15.1,57.0,29.3,13.96,6.82,5.41,1.72,119
116,"ISL","Advanced Economies","Iceland",2030,"M",15,64,1.2,10.9,9.2,23.0,12.2,64.9,33.2,14.54,6.85,5.72,1.96,121
116,"ISL","Advanced Economies","Iceland",2035,"M",15,64,1.2,8.3,7.0,18.3,8.9,72.3,37.0,15.02,6.87,5.96,2.19,124
116,"ISL","Advanced Economies","Iceland",2040,"M",15,64,1.1,6.1,5.2,13.8,5.9,79.0,40.4,15.45,6.89,6.17,2.39,126
117,"IRL","Advanced Economies","Ireland",2015,"M",15,64,0.6,10.4,8.7,47.7,30.2,41.2,28.0,13.36,7.88,4.10,1.39,1550
117,"IRL","Advanced Economies","Ireland",2020,"M",15,64,0.5,8.7,7.4,48.9,33.4,41.8,28.3,13.54,7.91,4.23,1.40,1601
