BLcode,WBcode,region_code,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,pop
131,"AUS","Advanced Economies","Australia",2015,"MF",25,64,0.5,5.3,3.4,60.5,41.7,33.7,18.9,13.23,6.90,5.28,1.05,12644
131,"AUS","Advanced Economies","Australia",2020,"MF",25,64,0.8,3.9,2.8,65.2,47.4,30.2,16.9,13.21,6.91,5.36,0.94,13178
131,"AUS","Advanced Economies","Australia",2025,"MF",25,64,1.0,3.1,2.4,69.2,52.5,26.6,14.8,13.15,6.90,5.42,0.83,13592
131,"AUS","Advanced Economies","Australia",2030,"MF",25,64,1.2,2.5,2.1,72.9,57.6,23.4,13.0,13.10,6.90,5.47,0.73,13948
131,"AUS","Advanced Economies","Australia",2035,"MF",25,64,1.4,2.2,2.0,76.4,62.1,20.0,11.0,13.02,6.90,5.50,0.62,14473
131,"AUS","Advanced Economies","Australia",2040,"MF",25,64,1.5,2.0,2.0,79.6,66.6,16.9,9.2,12.95,6.90,5.53,0.52,15049
107,"AUT","Advanced Economies","Austria",2015,"MF",25,64,1.9,13.9,11.2,66.2,53.5,17.9,10.1,10.65,3.87,6.22,0.56,4727
107,"AUT","Advanced Economies","Austria",2020,"MF",25,64,1.9,12.3,10.1,69.9,57.6,15.9,8.9,10.75,3.88,6.37,0.50,4801
107,"AUT","Advanced Economies","Austria",2025,"MF",25,64,2.0,10.9,9.0,75.5,62.7,11.6,6.5,10.69,3.88,6.45,0.36,4740
107,"AUT","Advanced Economies","Austria",2030,"MF",25,64,2.2,9.0,7.5,78.4,65.6,10.5,5.8,10.80,3.88,6.59,0.33,4564
107,"AUT","Advanced Economies","Austria",2035,"MF",25,64,2.1,7.3,6.2,81.2,68.0,9.4,5.2,10.91,3.90,6.72,0.29,4394
107,"AUT","Advanced Economies","Austria",2040,"MF",25,64,1.6,7.7,6.6,81.8,68.5,8.9,4.9,10.92,3.92,6.73,0.28,4352
108,"BEL","Advanced Economies","Belgium",2015,"MF",25,64,4.2,6.3,3.8,54.8,39.1,34.7,23.6,11.58,5.67,4.74,1.17,5897
108,"BEL","Advanced Economies","Belgium",2020,"MF",25,64,3.6,5.4,3.1,56.5,42.7,34.5,23.6,11.79,5.72,4.91,1.16,5897
108,"BEL","Advanced Economies","Belgium",2025,"MF",25,64,3.1,5.2,3.0,57.4,45.9,34.2,23.5,11.94,5.75,5.04,1.15,5760
108,"BEL","Advanced Economies","Belgium",2030,"MF",25,64,2.6,5.2,3.1,58.0,49.0,34.2,23.5,12.11,5.78,5.17,1.15,5610
108,"BEL","Advanced Economies","Belgium",2035,"MF",25,64,2.2,5.7,3.7,58.7,51.5,33.4,23.0,12.17,5.81,5.24,1.13,5544
108,"BEL","Advanced Economies","Belgium",2040,"MF",25,64,1.8,6.3,4.3,59.0,53.6,32.9,22.8,12.24,5.83,5.30,1.11,5538
50,"CAN","Advanced Economies","Canada",2015,"MF",25,64,0.6,1.7,0.7,46.2,34.9,51.5,30.5,13.10,5.94,5.52,1.64,19791
50,"CAN","Advanced Economies","Canada",2020,"MF",25,64,0.5,1.4,0.7,46.7,36.4,51.3,30.6,13.16,5.95,5.57,1.64,20239
50,"CAN","Advanced Economies","Canada",2025,"MF",25,64,0.5,1.3,0.7,47.1,37.8,51.2,30.7,13.21,5.95,5.62,1.64,20191
50,"CAN","Advanced Economies","Canada",2030,"MF",25,64,0.5,1.1,0.6,47.1,39.1,51.4,31.0,13.28,5.96,5.67,1.65,19957
50,"CAN","Advanced Economies","Canada",2035,"MF",25,64,0.5,1.0,0.7,47.8,41.0,50.8,30.7,13.31,5.97,5.71,1.63,20204
50,"CAN","Advanced Economies","Canada",2040,"MF",25,64,0.4,0.9,0.7,48.0,42.4,50.7,30.6,13.35,5.97,5.75,1.63,20663
110,"DNK","Advanced Economies","Denmark",2015,"MF",25,64,3.5,0.2,0.1,65.9,45.2,30.5,17.2,11.90,5.79,5.16,0.95,2908
110,"DNK","Advanced Economies","Denmark",2020,"MF",25,64,3.8,0.0,0.0,65.4,45.4,30.8,17.2,11.91,5.78,5.18,0.96,2940
110,"DNK","Advanced Economies","Denmark",2025,"MF",25,64,3.8,0.0,0.0,65.2,45.3,31.0,17.2,11.91,5.77,5.17,0.96,2963
110,"DNK","Advanced Economies","Denmark",2030,"MF",25,64,3.8,0.1,0.1,65.0,45.3,31.1,17.1,11.91,5.77,5.17,0.96,2947
110,"DNK","Advanced Economies","Denmark",2035,"MF",25,64,3.8,0.2,0.2,65.6,45.5,30.5,16.7,11.88,5.77,5.16,0.94,2930
110,"DNK","Advanced Economies","Denmark",2040,"MF",25,64,3.7,0.3,0.2,66.1,45.7,29.9,16.3,11.85,5.78,5.15,0.93,2924
111,"FIN","Advanced Economies","Finland",2015,"MF",25,64,0.2,16.3,13.2,49.9,36.5,33.5,13.7,11.44,5.89,4.60,0.95,2801
111,"FIN","Advanced Economies","Finland",2020,"MF",25,64,0.3,13.6,11.2,54.8,42.1,31.2,12.1,11.56,5.91,4.78,0.87,2764
111,"FIN","Advanced Economies","Finland",2025,"MF",25,64,0.4,12.8,10.6,58.8,46.2,28.0,10.1,11.51,5.91,4.83,0.76,2713
111,"FIN","Advanced Economies","Finland",2030,"MF",25,64,0.5,12.0,10.1,62.8,50.8,24.7,8.4,11.47,5.91,4.89,0.66,2660
111,"FIN","Advanced Economies","Finland",2035,"MF",25,64,0.5,11.7,10.0,67.2,55.9,20.6,6.6,11.39,5.92,4.93,0.54,2644
111,"FIN","Advanced Economies","Finland",2040,"MF",25,64,0.5,11.5,9.9,71.1,61.0,16.9,5.2,11.34,5.92,4.97,0.44,2679
112,"FRA","Advanced Economies","France",2015,"MF",25,64,1.2,7.0,6.3,61.7,44.2,30.0,14.0,11.70,4.92,5.90,0.88,33134
112,"FRA","Advanced Economies","France",2020,"MF",25,64,1.2,4.1,3.6,62.9,46.4,31.9,14.9,12.01,4.93,6.14,0.94,33085
112,"FRA","Advanced Economies","France",2025,"MF",25,64,1.3,3.0,2.6,62.0,47.7,33.9,15.8,12.21,4.93,6.28,0.99,33107
112,"FRA","Advanced Economies","France",2030,"MF",25,64,1.3,1.8,1.6,60.6,48.9,36.4,17.0,12.44,4.93,6.44,1.07,32960
112,"FRA","Advanced Economies","France",2035,"MF",25,64,1.5,1.2,1.1,59.6,50.1,37.9,17.7,12.59,4.93,6.54,1.11,32845
112,"FRA","Advanced Economies","France",2040,"MF",25,64,1.6,0.7,0.6,58.1,50.9,39.9,18.7,12.75,4.93,6.64,1.17,32805
190,"DEU","Advanced Economies","Germany",2015,"MF",25,64,2.1,1.4,1.1,72.1,51.7,24.5,13.8,12.76,3.91,8.08,0.76,45691
190,"DEU","Advanced Economies","Germany",2020,"MF",25,64,1.8,1.3,1.1,66.5,47.9,30.4,16.9,13.03,3.92,8.16,0.94,44510
190,"DEU","Advanced Economies","Germany",2025,"MF",25,64,1.6,1.2,1.0,60.4,44.3,36.8,20.3,13.34,3.93,8.26,1.14,42633
190,"DEU","Advanced Economies","Germany",2030,"MF",25,64,1.3,1.1,0.9,54.0,40.6,43.6,23.9,13.68,3.95,8.38,1.35,39528
190,"DEU","Advanced Economies","Germany",2035,"MF",25,64,1.0,1.0,0.8,46.7,35.8,51.3,28.0,14.04,3.96,8.50,1.59,36566
190,"DEU","Advanced Economies","Germany",2040,"MF",25,64,0.8,0.8,0.6,39.5,31.0,59.1,32.2,14.41,3.97,8.61,1.82,35289
114,"GRC","Advanced Economies","Greece",2015,"MF",25,64,0.7,18.7,18.1,47.6,36.6,33.0,31.0,11.72,5.94,4.50,1.28,6154
114,"GRC","Advanced Economies","Greece",2020,"MF",25,64,0.6,14.2,13.9,52.2,41.9,33.0,31.0,12.03,5.95,4.80,1.28,6007
114,"GRC","Advanced Economies","Greece",2025,"MF",25,64,0.6,11.9,11.6,55.5,46.3,32.1,30.2,12.18,5.96,4.98,1.24,5819
114,"GRC","Advanced Economies","Greece",2030,"MF",25,64,0.5,9.4,9.2,58.9,51.0,31.1,29.3,12.34,5.96,5.17,1.21,5630
114,"GRC","Advanced Economies","Greece",2035,"MF",25,64,0.4,8.6,8.3,61.8,55.7,29.2,27.5,12.38,5.97,5.28,1.13,5414
114,"GRC","Advanced Economies","Greece",2040,"MF",25,64,0.3,7.6,7.4,64.8,60.6,27.2,25.6,12.43,5.97,5.40,1.06,5189
116,"ISL","Advanced Economies","Iceland",2015,"MF",25,64,2.0,23.7,19.3,32.3,22.5,42.0,23.3,12.82,6.70,4.81,1.31,176
116,"ISL","Advanced Economies","Iceland",2020,"MF",25,64,1.9,20.1,16.4,26.6,18.8,51.4,28.3,13.48,6.74,5.15,1.59,183
116,"ISL","Advanced Economies","Iceland",2025,"MF",25,64,1.8,16.0,13.2,21.7,15.5,60.6,33.2,14.16,6.78,5.51,1.88,187
116,"ISL","Advanced Economies","Iceland",2030,"MF",25,64,1.6,12.5,10.3,16.2,11.8,69.7,38.1,14.80,6.81,5.84,2.16,189
116,"ISL","Advanced Economies","Iceland",2035,"MF",25,64,1.5,9.7,8.1,10.6,7.8,78.2,42.7,15.36,6.84,6.10,2.42,193
116,"ISL","Advanced Economies","Iceland",2040,"MF",25,64,1.3,7.2,6.0,5.9,4.4,85.6,46.7,15.86,6.87,6.35,2.64,197
117,"IRL","Advanced Economies","Ireland",2015,"MF",25,64,0.6,7.9,6.4,41.6,28.1,49.8,34.3,13.87,7.89,4.30,1.68,2528
117,"IRL","Advanced Economies","Ireland",2020,"MF",25,64,0.5,6.0,4.9,43.2,31.7,50.3,34.6,14.06,7.92,4.44,1.70,2586
117,"IRL","Advanced Economies","Ireland",2025,"MF",25,64,0.4,5.6,4.7,43.7,34.4,50.2,34.6,14.13,7.93,4.51,1.70,2644
117,"IRL","Advanced Economies","Ireland",2030,"MF",25,64,0.3,5.2,4.4,43.6,36.6,50.9,35.0,14.24,7.94,4.58,1.72,2692
117,"IRL","Advanced Economies","Ireland",2035,"MF",25,64,0.3,5.6,4.8,43.6,38.4,50.5,34.7,14.26,7.95,4.60,1.70,2765
117,"IRL","Advanced Economies","Ireland",2040,"MF",25,64,0.2,5.9,5.1,43.3,39.9,50.6,34.6,14.29,7.95,4.63,1.71,2811
